scenario,topology,n_sites,best_regime,eta_coherent,eta_best,gamma_best,eta_high,coherence_best,loss_best
Complete graph (high loss),complete,4,intermediate,0.2027886681126616,0.4439573954509062,3.2,0.41468413861038833,0.08360166097274954,0.5454227284798954
Ring graph (high loss),ring,4,coherent,0.6255257959977139,0.6255257959977139,0.0,0.3677426368080576,0.3904128126712633,0.3672848377030903
Chain graph (high loss),chain,5,coherent,0.5350698016613815,0.5350698016613815,0.0,0.09616963793172445,0.5043874270770389,0.450591724097999
