family,n_sites,target_style,disorder_strength_over_coupling,dephasing_over_coupling,arrival_quantum,arrival_classical,arrival_delta_quantum_minus_classical,quantum_hitting_time,classical_hitting_time,quantum_loss,classical_loss,comparison_label
ring,8,near,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,near,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,near,0.4,1.4,0.42845067236636086,0.4496091735030281,-0.02115850113666723,1.2658227848101267,1.3924050632911393,0.13215092623077038,0.1278537050096948,classical_explains
ring,8,near,0.4,1.4,0.4308942746576659,0.4496091735030281,-0.018714898845362204,1.2658227848101267,1.3924050632911393,0.13163311158040011,0.1278537050096948,classical_explains
ring,8,near,0.8,1.4,0.4228636758798693,0.4496091735030281,-0.02674549762315881,1.2658227848101267,1.3924050632911393,0.1326407900682994,0.1278537050096948,classical_explains
ring,8,near,0.8,1.4,0.419042322029716,0.4496091735030281,-0.030566851473312118,1.2658227848101267,1.3924050632911393,0.13355178391261785,0.1278537050096948,classical_explains
ring,8,far,0.0,0.0,0.6808388371021985,0.1862977652668463,0.49454107183535223,2.278481012658228,6.835443037974684,0.10851894815353814,0.16841587702547697,quantum_advantage_like
ring,8,far,0.0,0.0,0.6808388371021985,0.1862977652668463,0.49454107183535223,2.278481012658228,6.835443037974684,0.10851894815353814,0.16841587702547697,quantum_advantage_like
ring,8,far,0.4,0.0,0.6648441980789372,0.1862977652668463,0.47854643281209097,2.278481012658228,6.835443037974684,0.11226860024063991,0.16841587702547697,quantum_advantage_like
ring,8,far,0.4,0.0,0.60826571848275,0.1862977652668463,0.42196795321590375,2.278481012658228,6.835443037974684,0.11592570655708881,0.16841587702547697,quantum_advantage_like
ring,8,far,0.8,0.0,0.4682922660758908,0.1862977652668463,0.28199450080904453,2.405063291139241,6.835443037974684,0.1297295904303798,0.16841587702547697,quantum_advantage_like
ring,8,far,0.8,0.0,0.4547844037286154,0.1862977652668463,0.2684866384617691,2.5316455696202533,6.835443037974684,0.13540619178536373,0.16841587702547697,quantum_advantage_like
ring,8,high_centrality,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,high_centrality,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,high_centrality,0.4,1.4,0.42845067236636086,0.4496091735030281,-0.02115850113666723,1.2658227848101267,1.3924050632911393,0.13215092623077038,0.1278537050096948,classical_explains
ring,8,high_centrality,0.4,1.4,0.4308942746576659,0.4496091735030281,-0.018714898845362204,1.2658227848101267,1.3924050632911393,0.13163311158040011,0.1278537050096948,classical_explains
ring,8,high_centrality,0.8,1.4,0.4228636758798693,0.4496091735030281,-0.02674549762315881,1.2658227848101267,1.3924050632911393,0.1326407900682994,0.1278537050096948,classical_explains
ring,8,high_centrality,0.8,1.4,0.419042322029716,0.4496091735030281,-0.030566851473312118,1.2658227848101267,1.3924050632911393,0.13355178391261785,0.1278537050096948,classical_explains
ring,8,low_centrality,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,low_centrality,0.0,1.4,0.4316589447464489,0.4496091735030281,-0.0179502287565792,1.2658227848101267,1.3924050632911393,0.1316847989406951,0.1278537050096948,classical_explains
ring,8,low_centrality,0.4,1.4,0.42845067236636086,0.4496091735030281,-0.02115850113666723,1.2658227848101267,1.3924050632911393,0.13215092623077038,0.1278537050096948,classical_explains
ring,8,low_centrality,0.4,1.4,0.4308942746576659,0.4496091735030281,-0.018714898845362204,1.2658227848101267,1.3924050632911393,0.13163311158040011,0.1278537050096948,classical_explains
ring,8,low_centrality,0.8,1.4,0.4228636758798693,0.4496091735030281,-0.02674549762315881,1.2658227848101267,1.3924050632911393,0.1326407900682994,0.1278537050096948,classical_explains
ring,8,low_centrality,0.8,1.4,0.419042322029716,0.4496091735030281,-0.030566851473312118,1.2658227848101267,1.3924050632911393,0.13355178391261785,0.1278537050096948,classical_explains
ring,10,near,0.0,1.4,0.39538068609484583,0.44035415677894607,-0.044973470684100236,1.2658227848101267,1.3924050632911393,0.13399275794973659,0.12827511178806347,classical_explains
ring,10,near,0.0,1.4,0.39538068609484583,0.44035415677894607,-0.044973470684100236,1.2658227848101267,1.3924050632911393,0.13399275794973659,0.12827511178806347,classical_explains
ring,10,near,0.4,1.4,0.3930455066068484,0.44035415677894607,-0.04730865017209768,1.2658227848101267,1.3924050632911393,0.13428190914021665,0.12827511178806347,classical_explains
ring,10,near,0.4,1.4,0.3988674577769373,0.44035415677894607,-0.0414866990020088,1.2658227848101267,1.3924050632911393,0.13344180702498928,0.12827511178806347,classical_explains
ring,10,near,0.8,1.4,0.3934318287083689,0.44035415677894607,-0.04692232807057717,1.2658227848101267,1.3924050632911393,0.13429951626883088,0.12827511178806347,classical_explains
ring,10,near,0.8,1.4,0.40672188639835755,0.44035415677894607,-0.033632270380588525,1.2658227848101267,1.3924050632911393,0.13243231412803955,0.12827511178806347,classical_explains
ring,10,far,0.0,0.0,0.6225083181890899,0.0968043164973818,0.5257040016917081,2.9113924050632916,10.0,0.12506275241233733,0.17559947409961602,quantum_advantage_like
ring,10,far,0.0,0.0,0.6225083181890899,0.0968043164973818,0.5257040016917081,2.9113924050632916,10.0,0.12506275241233733,0.17559947409961602,quantum_advantage_like
ring,10,far,0.4,0.0,0.37967538668038303,0.0968043164973818,0.2828710701830012,3.037974683544304,10.0,0.14351391585202378,0.17559947409961602,quantum_advantage_like
ring,10,far,0.4,0.0,0.5065408246733065,0.0968043164973818,0.4097365081759247,2.9113924050632916,10.0,0.13245211284281805,0.17559947409961602,quantum_advantage_like
ring,10,far,0.8,0.0,0.4493214415106739,0.0968043164973818,0.3525171250132921,2.9113924050632916,10.0,0.13593709344954208,0.17559947409961602,quantum_advantage_like
ring,10,far,0.8,0.0,0.41516549443010564,0.0968043164973818,0.31836117793272384,3.037974683544304,10.0,0.14164420159536684,0.17559947409961602,quantum_advantage_like
ring,10,high_centrality,0.0,1.4,0.39538068609484583,0.44035415677894607,-0.044973470684100236,1.2658227848101267,1.3924050632911393,0.13399275794973659,0.12827511178806347,classical_explains
ring,10,high_centrality,0.0,1.4,0.39538068609484583,0.44035415677894607,-0.044973470684100236,1.2658227848101267,1.3924050632911393,0.13399275794973659,0.12827511178806347,classical_explains
