family,n_sites,instance_id,graph_seed,realization,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,dephasing_over_coupling,arrival,sink_hitting_time_filled,loss_population,network_population,mean_coherence_l1,final_entropy,participation_ratio,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,3,0.0,near,7,0,1.4,0.4316589447464489,1.2658227848101267,0.1316847989406951,0.4366562563128547,0.4520993709502199,2.0607822724899596,7.837538106574407,1.3322676295501878e-15,1.3322676295501878e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.2958525014800011,0.1358064432664478
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,5,0.0,near,7,0,1.4,0.4316589447464489,1.2658227848101267,0.1316847989406951,0.4366562563128547,0.4520993709502199,2.0607822724899596,7.837538106574407,1.3322676295501878e-15,1.3322676295501878e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.2958525014800011,0.1358064432664478
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,3,0.4,near,7,0,1.4,0.42845067236636086,1.2658227848101267,0.13215092623077038,0.4393984014028677,0.4649078001451265,2.060155372012743,7.8304851010986285,1.1102230246251565e-15,1.1102230246251565e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.2805359442115885,0.14791472815477236
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,5,0.4,near,7,0,1.4,0.4308942746576659,1.2658227848101267,0.13163311158040011,0.4374726137619351,0.45908308885744714,2.0599881226257777,7.828679941814911,1.3322676295501878e-15,1.1102230246251565e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.32337318826867706,0.10752108638898883
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,3,0.8,near,7,0,1.4,0.4228636758798693,1.2658227848101267,0.1326407900682994,0.4444955340518306,0.466500181445719,2.0588026447139653,7.816081877190319,8.881784197001252e-16,8.881784197001252e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.3112196429287431,0.11164403295112618
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,5,0.8,near,7,0,1.4,0.419042322029716,1.2658227848101267,0.13355178391261785,0.44740589405766656,0.47342023593091015,2.059490559955138,7.823536991662966,1.1102230246251565e-15,1.1102230246251565e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.28508226835936895,0.13396005367034702
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,3,0.0,far,7,3,0.0,0.6808388371021985,2.278481012658228,0.10851894815353814,0.21064221474426273,2.29621748891211,2.004276247050604e-10,3.636596655333789,6.661338147750939e-16,7.771561172376096e-16,-3.9157474377814794e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.6808388371021985,0.0
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,5,0.0,far,7,3,0.0,0.6808388371021985,2.278481012658228,0.10851894815353814,0.21064221474426273,2.29621748891211,2.004276247050604e-10,3.636596655333789,6.661338147750939e-16,7.771561172376096e-16,-3.9157474377814794e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.6808388371021985,0.0
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,3,0.4,far,7,3,0.0,0.6648441980789372,2.278481012658228,0.11226860024063991,0.22288720168042186,2.5898561368462087,2.004530470793008e-10,4.361187786312369,1.3322676295501878e-15,1.3322676295501878e-15,-5.929121474139971e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.6648441980789372,0.0
ring,8,ring_N8_r0_s8208_edge-unweighted,8208,0,5,0.4,far,7,3,0.0,0.60826571848275,2.278481012658228,0.11592570655708881,0.275808574960162,2.8081767181139066,2.0041956504925221e-10,4.420292407044828,8.881784197001252e-16,8.881784197001252e-16,-4.10576076649593e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.60826571848275,0.0
