family,target_style,n,arrival_mean,arrival_ci95_low,arrival_ci95_high,dephasing_gain_mean,target_degree_mean,initial_target_distance_mean,target_closeness_mean
chain,far,18,0.4593982752169921,0.4122832257938886,0.5065133246400956,0.0,1.0,9.0,0.20555555555555555
chain,high_centrality,18,0.34116640425101497,0.31265639597629813,0.3696764125257318,0.006626784516869304,2.0,5.0,0.3676851851851851
chain,low_centrality,18,0.4593982752169921,0.4122832257938886,0.5065133246400956,0.0,1.0,9.0,0.20555555555555555
chain,near,18,0.5839996376522429,0.5812426062708816,0.5867566690336042,0.223389804463925,2.0,1.0,0.2526178776178776
modular_two_community,far,36,0.281865318447331,0.2462536030297959,0.3174770338648661,0.04577400364649198,1.8333333333333333,3.1666666666666665,0.3809070874107106
modular_two_community,high_centrality,36,0.3701981750659084,0.34694053374078004,0.3934558163910368,0.04190892245307177,4.666666666666667,1.5,0.6365983553483553
modular_two_community,low_centrality,36,0.2865280965792454,0.251349809599627,0.3217063835588638,0.04670177941082318,1.8333333333333333,3.0,0.3782955014657913
modular_two_community,near,36,0.37611186771112776,0.35555629794313065,0.39666743747912486,0.07125379042454043,3.8333333333333335,1.0,0.5942825230325232
random_geometric,far,36,0.30170028080676864,0.26647139902955097,0.3369291625839863,0.05738234752904749,2.5,3.1666666666666665,0.47324892142379416
random_geometric,high_centrality,36,0.3029377359604648,0.28376374802673165,0.32211172389419795,0.12773044180666973,6.666666666666667,1.5,0.7967472342472344
random_geometric,low_centrality,36,0.30993580862549946,0.2736997552706001,0.34617186198039884,0.05248528745559885,2.0,3.0,0.45461203635545744
random_geometric,near,36,0.4754576847632996,0.42576046759608305,0.5251549019305162,0.042001512871855044,4.166666666666667,1.0,0.6159729159729161
ring,far,18,0.4947346919922033,0.43796442854017287,0.5515049554442338,0.0,2.0,5.0,0.3676851851851851
ring,high_centrality,18,0.40216986618788986,0.39292411696141555,0.41141561541436417,0.10800607617961006,2.0,1.0,0.3676851851851851
ring,low_centrality,18,0.40216986618788986,0.39292411696141555,0.41141561541436417,0.10800607617961006,2.0,1.0,0.3676851851851851
ring,near,18,0.40216986618788986,0.39292411696141555,0.41141561541436417,0.10800607617961006,2.0,1.0,0.3676851851851851
square_lattice_2d,far,18,0.37746959858712364,0.3407873174048496,0.4141518797693977,0.019588922311990466,2.0,4.0,0.40888888888888886
square_lattice_2d,high_centrality,18,0.35673176980369115,0.3299231842023791,0.3835403554050032,0.13707545501835738,4.0,1.6666666666666667,0.6166666666666667
square_lattice_2d,low_centrality,18,0.36125723646082464,0.3255383670521877,0.3969761058694616,0.0462405188061042,2.0,4.0,0.38805555555555554
square_lattice_2d,near,18,0.37231739968700284,0.3549777311698165,0.38965706820418916,0.13033962788222464,3.6666666666666665,1.0,0.5743589743589743
