campaign,profile,family,family_class,n_sites,realization,target_styles_requested,unique_targets_used,disorder_values,disorder_seeds,gamma_values,time_samples,records,quantum_simulations,classical_simulations,estimated_cost_units,edge_count,density,mean_degree,max_degree,unique_candidate_targets,duplicate_target_styles,edge_models
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,1,4,4,5,16,8,180,320,2560,320,3397386240.0,16.0,0.35555555555555557,3.2,6.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,2,4,3,5,16,8,180,240,1920,240,2388787200.0,15.0,0.3333333333333333,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,3,4,3,5,16,8,180,240,1920,240,2388787200.0,15.0,0.3333333333333333,3.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,4,4,3,5,16,8,180,240,1920,240,2229534720.0,14.0,0.3111111111111111,2.8,4.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,5,4,3,5,16,8,180,240,1920,240,2070282239.9999998,13.0,0.28888888888888886,2.6,4.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,6,4,3,5,16,8,180,240,1920,240,1592524800.0,10.0,0.2222222222222222,2.0,3.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,7,4,2,5,16,8,180,160,1280,160,955514880.0,9.0,0.2,1.8,3.0,2.0,2.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,8,4,3,5,16,8,180,240,1920,240,2070282239.9999998,13.0,0.28888888888888886,2.6,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,9,4,3,5,16,8,180,240,1920,240,1592524800.0,10.0,0.2222222222222222,2.0,3.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,10,4,4,5,16,8,180,320,2560,320,2123366400.0,10.0,0.2222222222222222,2.0,3.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,10,11,4,3,5,16,8,180,240,1920,240,1592524800.0,10.0,0.2222222222222222,2.0,4.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,0,4,4,5,16,8,180,320,2560,320,6168911127.272728,23.0,0.3484848484848485,3.8333333333333335,6.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,1,4,3,5,16,8,180,240,1920,240,3419722472.7272725,17.0,0.25757575757575757,2.8333333333333335,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,2,4,3,5,16,8,180,240,1920,240,4224363054.5454545,21.0,0.3181818181818182,3.5,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,3,4,3,5,16,8,180,240,1920,240,4626683345.454546,23.0,0.3484848484848485,3.8333333333333335,6.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,4,4,4,5,16,8,180,320,2560,320,3218562327.2727275,12.0,0.18181818181818182,2.0,3.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,5,4,3,5,16,8,180,240,1920,240,3822042763.636364,19.0,0.2878787878787879,3.1666666666666665,6.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,6,4,4,5,16,8,180,320,2560,320,5096057018.181819,19.0,0.2878787878787879,3.1666666666666665,5.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,7,4,3,5,16,8,180,240,1920,240,3017402181.8181815,15.0,0.22727272727272727,2.5,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,8,4,4,5,16,8,180,320,2560,320,5900697600.0,22.0,0.3333333333333333,3.6666666666666665,7.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,9,4,4,5,16,8,180,320,2560,320,4559629963.636364,17.0,0.25757575757575757,2.8333333333333335,5.0,4.0,0.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,10,4,3,5,16,8,180,240,1920,240,3419722472.7272725,17.0,0.25757575757575757,2.8333333333333335,5.0,3.0,1.0,
dynamic_network_atlas,strong,erdos_renyi,random_graph,12,11,4,3,5,16,8,180,240,1920,240,4224363054.5454545,21.0,0.3181818181818182,3.5,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,0,4,3,5,16,8,180,240,1920,240,1974857142.8571427,16.0,0.5714285714285714,4.0,6.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,1,4,3,5,16,8,180,240,1920,240,1974857142.8571427,16.0,0.5714285714285714,4.0,5.0,3.0,1.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,2,4,4,5,16,8,180,320,2560,320,2633142857.142857,16.0,0.5714285714285714,4.0,5.0,4.0,0.0,
dynamic_network_atlas,strong,watts_strogatz_small_world,random_graph,8,3,4,4,5,16,8,180,320,2560,320,2633142857.142857,16.0,0.5714285714285714,4.0,5.0,4.0,0.0,
