scenario,topology,n_sites,best_regime,eta_coherent,eta_best,gamma_best,eta_high,coherence_best,loss_best
Complete graph (5 nodes),complete,5,intermediate,0.21928147067679815,0.7607306444661605,3.2,0.7481725027352581,0.12319540444315681,0.171622935349493
Ring graph (6 nodes),ring,6,coherent,0.7015997530746505,0.7015997530746505,0.0,0.4163089287630336,1.1160730445559774,0.2211977789652676
Chain graph (6 nodes),chain,6,coherent,0.8012557955088789,0.8012557955088789,0.0,0.17784405952654248,0.8601119746638964,0.14489602973932963
