family,n_sites,instance_id,graph_seed,realization,disorder_strength_over_coupling,disorder_seed,target_label,trap_site,initial_site,arrival,dephasing_over_coupling,sink_hitting_time_filled,loss_population,mean_coherence_l1,final_entropy,participation_ratio,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_0,0,7,0.5711732849820322,0.0,4.19047619047619,0.11413564343419302,2.373479317520534,2.004762697852911e-10,6.794932932155186,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,1.0,0.0,0.25,7.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,1.0000000000000002,0.1666666666666668,0.5711732849820322,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_1,1,7,0.3889425925727548,0.0,4.063492063492063,0.12792122153321084,2.794793928098858,2.004257587270414e-10,5.501853823624444,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,6.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.16666666666666685,0.3889425925727548,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_2,2,7,0.358722530949307,0.0,3.4285714285714284,0.12485395615760132,2.7159754840026125,2.0045279666332684e-10,6.040756377647413,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.47619047619047616,0.3888888888888889,5.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.7581053617355058,0.1666666666666669,0.358722530949307,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_3,3,7,0.3708566994879186,0.0,2.7936507936507935,0.12134842987044953,2.662725005283844,2.0039476062243382e-10,4.836267253385195,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.5714285714285714,0.4375,4.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381817,0.16666666666666702,0.3708566994879186,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_4,4,7,0.3912728567625373,0.0,2.2857142857142856,0.1181992897524254,2.6298723000369395,2.003873170424604e-10,6.074799466259986,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.5714285714285714,0.4375,3.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381819,0.16666666666666663,0.3912728567625373,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_5,5,7,0.43256014529381376,1.4,2.0317460317460316,0.1129056531100163,0.4571286499761356,2.0511179136212503,7.703154873045918,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.47619047619047616,0.3888888888888889,2.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.7581053617355058,0.16666666666666688,0.3244295882268528,0.10813055706696095
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,3,site_6,6,7,0.5436864537177754,1.4,1.1428571428571428,0.09463278904235313,0.3861219876009939,2.0672235950765177,7.8936538627844195,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,1.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.1666666666666667,0.3132614723627908,0.23042498135498457
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_0,0,7,0.5711732849820322,0.0,4.19047619047619,0.11413564343419302,2.373479317520534,2.004762697852911e-10,6.794932932155186,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,1.0,0.0,0.25,7.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,1.0000000000000002,0.1666666666666668,0.5711732849820322,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_1,1,7,0.3889425925727548,0.0,4.063492063492063,0.12792122153321084,2.794793928098858,2.004257587270414e-10,5.501853823624444,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,6.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.16666666666666685,0.3889425925727548,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_2,2,7,0.358722530949307,0.0,3.4285714285714284,0.12485395615760132,2.7159754840026125,2.0045279666332684e-10,6.040756377647413,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.47619047619047616,0.3888888888888889,5.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.7581053617355058,0.1666666666666669,0.358722530949307,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_3,3,7,0.3708566994879186,0.0,2.7936507936507935,0.12134842987044953,2.662725005283844,2.0039476062243382e-10,4.836267253385195,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.5714285714285714,0.4375,4.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381817,0.16666666666666702,0.3708566994879186,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_4,4,7,0.3912728567625373,0.0,2.2857142857142856,0.1181992897524254,2.6298723000369395,2.003873170424604e-10,6.074799466259986,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.5714285714285714,0.4375,3.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381819,0.16666666666666663,0.3912728567625373,0.0
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_5,5,7,0.43256014529381376,1.4,2.0317460317460316,0.1129056531100163,0.4571286499761356,2.0511179136212503,7.703154873045918,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.47619047619047616,0.3888888888888889,2.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.7581053617355058,0.16666666666666688,0.3244295882268528,0.10813055706696095
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.0,5,site_6,6,7,0.5436864537177754,1.4,1.1428571428571428,0.09463278904235313,0.3861219876009939,2.0672235950765177,7.8936538627844195,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,1.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.1666666666666667,0.3132614723627908,0.23042498135498457
chain,8,chain_N8_r0_s9208_edge-unweighted,9208,0,0.6,3,site_0,0,7,0.46829800110786685,0.0,4.317460317460317,0.12039154380120698,3.207143306089578,2.0046037662852306e-10,6.503135094521308,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,1.0,0.0,0.25,7.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,1.0000000000000002,0.1666666666666668,0.46829800110786685,0.0
