sweep,topology,parameter_value,n_sites,kappa_over_j,gamma_loss_over_j,w_over_j,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,coherence_best_mean,loss_best_mean,trace_diag_best,closure_diag_best,min_eig_best,n_realizations
n_sites,chain,4.0,4,0.65,0.02,0.0,coherent,0.847986150545727,0.0,0.0,0.5201707242586052,0.10722758922475967,1.3322676295501878e-15,1.3322676295501878e-15,-7.033271180497096e-16,1
n_sites,chain,5.0,5,0.65,0.02,0.0,coherent,0.8054616797415953,0.0,0.0,0.7933361749290198,0.12283871847616473,1.7763568394002505e-15,1.7763568394002505e-15,-4.910515896999694e-16,1
n_sites,chain,6.0,6,0.65,0.02,0.0,coherent,0.758692541493887,0.0,0.0,1.0804793096481222,0.13719257854226286,6.8833827526759706e-15,6.8833827526759706e-15,-1.1754539691687221e-15,1
n_sites,chain,7.0,7,0.65,0.02,0.0,coherent,0.7329852662776103,0.0,0.0,1.3646255298093366,0.1489747299736155,7.438494264988549e-15,7.327471962526033e-15,-1.4576565695635476e-15,1
n_sites,ring,4.0,4,0.65,0.02,0.0,coherent,0.8966335301247248,0.0,0.0,0.4365639479639731,0.08459970124582404,1.5543122344752192e-15,1.5543122344752192e-15,-2.223497835935233e-16,1
n_sites,ring,5.0,5,0.65,0.02,0.0,intermediate,0.7090353791784688,0.0,0.8,0.31447028330999877,0.16019302991298318,9.547918011776346e-15,9.547918011776346e-15,0.0,1
n_sites,ring,6.0,6,0.65,0.02,0.0,coherent,0.8512588123858817,0.0,0.0,0.9365078300269738,0.10835344750540753,1.7763568394002505e-15,1.9984014443252818e-15,-3.6885121224467787e-16,1
n_sites,ring,7.0,7,0.65,0.02,0.0,intermediate,0.5830855010013339,0.0,0.4,0.7021103113616295,0.19236460826543803,6.8833827526759706e-15,7.105427357601002e-15,0.0,1
n_sites,complete,4.0,4,0.65,0.02,0.0,intermediate,0.7668305124943738,0.0,3.2,0.12276768359128652,0.1421279517298141,1.1102230246251565e-14,1.1102230246251565e-14,0.0,1
n_sites,complete,5.0,5,0.65,0.02,0.0,intermediate,0.6901950022451044,0.0,3.2,0.15717411391379874,0.164282414447186,1.1102230246251565e-14,1.1102230246251565e-14,0.0,1
n_sites,complete,6.0,6,0.65,0.02,0.0,strongly_dissipative,0.6191540636697636,0.0,6.4,0.12435013076804245,0.18278630266567525,8.992806499463768e-15,9.103828801926284e-15,0.0,1
n_sites,complete,7.0,7,0.65,0.02,0.0,strongly_dissipative,0.5669182338242618,0.0,6.4,0.14017776085659397,0.19502391857058374,8.770761894538737e-15,8.770761894538737e-15,0.0,1
kappa_over_j,chain,0.2,5,0.2,0.02,0.0,coherent,0.49735128564651526,0.0,0.0,1.393723513343396,0.20900628241448024,1.6653345369377348e-15,1.6653345369377348e-15,-1.1932956967127632e-15,1
kappa_over_j,chain,0.4,5,0.4,0.02,0.0,coherent,0.6996250948672477,0.0,0.0,1.0377997506433498,0.15802337112843579,1.0436096431476471e-14,1.0436096431476471e-14,-1.9484049350971764e-15,1
kappa_over_j,chain,0.8,5,0.8,0.02,0.0,coherent,0.8372011421838463,0.0,0.0,0.6999947231675372,0.1099310586804601,1.1102230246251565e-15,1.1102230246251565e-15,-7.068995788965787e-16,1
kappa_over_j,chain,1.2,5,1.2,0.02,0.0,coherent,0.8783886994627877,0.0,0.0,0.5556214800669901,0.09065241347083132,2.55351295663786e-15,2.55351295663786e-15,-9.207713894759703e-16,1
kappa_over_j,ring,0.2,5,0.2,0.02,0.0,intermediate,0.3966752528671889,0.0,0.8,0.2937618415956414,0.23193819189414536,5.10702591327572e-15,5.10702591327572e-15,0.0,1
kappa_over_j,ring,0.4,5,0.4,0.02,0.0,intermediate,0.5889919370490703,0.0,0.8,0.30823620515276334,0.19079859202081126,2.6645352591003757e-15,2.6645352591003757e-15,0.0,1
kappa_over_j,ring,0.8,5,0.8,0.02,0.0,intermediate,0.7502321116317753,0.0,0.8,0.3156805895959596,0.14813565712578972,2.886579864025407e-15,2.886579864025407e-15,0.0,1
