family,target_style,n,arrival_mean,arrival_ci95_low,arrival_ci95_high,dephasing_gain_mean,target_degree_mean,initial_target_distance_mean,target_closeness_mean
chain,far,48,0.4678938809442943,0.4329347563979297,0.5028530054906588,0.0002750688904717864,1.0,9.0,0.20555555555555557
chain,high_centrality,48,0.38516207952729414,0.3666584328482729,0.4036657262063154,0.011258145073127127,2.0,5.0,0.36768518518518517
chain,low_centrality,48,0.4678938809442943,0.4329347563979297,0.5028530054906588,0.0002750688904717864,1.0,9.0,0.20555555555555557
chain,near,48,0.6104311994534634,0.6081271893953394,0.6127352095115873,0.20946591582161442,2.0,1.0,0.25261787761787763
modular_two_community,far,192,0.30510190492008327,0.2936278298840727,0.3165759799560938,0.05488208504654132,2.4166666666666665,3.0,0.43225689238713977
modular_two_community,high_centrality,192,0.3971226834468573,0.38555813811048834,0.4086872287832263,0.059169682533920985,4.583333333333333,1.5833333333333333,0.6433125901875901
modular_two_community,low_centrality,192,0.34230882409995167,0.32790115769035055,0.3567164905095528,0.06413994619242491,2.0,2.4166666666666665,0.4009246013862649
modular_two_community,near,192,0.45165820646130056,0.4423452335146418,0.46097117940795934,0.057518328013276256,3.8333333333333335,1.0,0.5756806789701526
random_geometric,far,192,0.31339714402614055,0.30012478961728206,0.32666949843499904,0.05890218598468298,1.9166666666666667,2.9166666666666665,0.40378116889640453
random_geometric,high_centrality,192,0.39532757045516775,0.379340139000464,0.4113150019098715,0.07304562970234314,5.5,1.25,0.6731047826442564
random_geometric,low_centrality,192,0.3200284749335804,0.3055759638183713,0.33448098604878945,0.07010005970340237,1.5,2.5833333333333335,0.3684991064625702
random_geometric,near,192,0.4194606384186444,0.41025141187734165,0.42866986495994713,0.08454874393000782,4.25,1.0,0.5726107024256929
ring,far,48,0.5375681525287833,0.49988017519834355,0.575256129859223,0.002126413462613791,2.0,5.0,0.36768518518518517
ring,high_centrality,48,0.44442885876033156,0.43552934574663976,0.45332837177402335,0.09983333862888051,2.0,1.0,0.36768518518518517
ring,low_centrality,48,0.44442885876033156,0.43552934574663976,0.45332837177402335,0.09983333862888051,2.0,1.0,0.36768518518518517
ring,near,48,0.44442885876033156,0.43552934574663976,0.45332837177402335,0.09983333862888051,2.0,1.0,0.36768518518518517
square_lattice_2d,far,48,0.4245064369753404,0.4037191859301389,0.4452936880205419,0.03929106823898284,2.0,4.0,0.40888888888888886
square_lattice_2d,high_centrality,48,0.40630124441515436,0.38946917462231223,0.4231333142079965,0.14906605950893428,4.0,1.6666666666666667,0.6166666666666667
square_lattice_2d,low_centrality,48,0.40977793929656015,0.3900030244392055,0.4295528541539148,0.0503131240598089,2.0,4.0,0.38805555555555554
square_lattice_2d,near,48,0.41880566856881946,0.40705417655031084,0.43055716058732807,0.1426475125423304,3.6666666666666665,1.0,0.5743589743589743
