family,disorder_strength_over_coupling,dominant_regime,dominant_fraction,record_count,fraction_coherent-dominated,fraction_dephasing-assisted,fraction_localized-by-disorder,fraction_loss-dominated,fraction_strongly-damped,fraction_mixed-crossover
bottleneck,0.00,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
bottleneck,0.60,dephasing-assisted,0.5,24,0.4583333333333333,0.5,0.0,0.0,0.0,0.041666666666666664
bottleneck,0.90,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
bottleneck,1.20,dephasing-assisted,0.5416666666666666,24,0.3333333333333333,0.5416666666666666,0.0,0.0,0.0,0.125
chain,0.00,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
chain,0.60,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
chain,0.90,dephasing-assisted,0.5,24,0.4583333333333333,0.5,0.0,0.0,0.0,0.041666666666666664
chain,1.20,dephasing-assisted,0.4166666666666667,24,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.16666666666666666
clustered,0.00,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
clustered,0.60,coherent-dominated,0.5416666666666666,24,0.5416666666666666,0.4583333333333333,0.0,0.0,0.0,0.0
clustered,0.90,coherent-dominated,0.5,24,0.5,0.4166666666666667,0.0,0.0,0.0,0.08333333333333333
clustered,1.20,dephasing-assisted,0.4583333333333333,24,0.4583333333333333,0.4583333333333333,0.0,0.0,0.0,0.08333333333333333
modular_two_community,0.00,dephasing-assisted,0.6666666666666666,72,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666
modular_two_community,0.60,dephasing-assisted,0.7638888888888888,72,0.1527777777777778,0.7638888888888888,0.0,0.0,0.0,0.08333333333333333
modular_two_community,0.90,dephasing-assisted,0.6944444444444444,72,0.19444444444444445,0.6944444444444444,0.0,0.0,0.0,0.1111111111111111
modular_two_community,1.20,dephasing-assisted,0.7361111111111112,72,0.2222222222222222,0.7361111111111112,0.0,0.0,0.0,0.041666666666666664
random_geometric,0.00,dephasing-assisted,0.9090909090909091,66,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0,0.0
random_geometric,0.60,dephasing-assisted,0.7878787878787878,66,0.13636363636363635,0.7878787878787878,0.0,0.0,0.0,0.07575757575757576
random_geometric,0.90,dephasing-assisted,0.6666666666666666,66,0.24242424242424243,0.6666666666666666,0.0,0.0,0.0,0.09090909090909091
random_geometric,1.20,dephasing-assisted,0.6666666666666666,66,0.2878787878787879,0.6666666666666666,0.0,0.0,0.0,0.045454545454545456
ring,0.00,dephasing-assisted,0.5,24,0.5,0.5,0.0,0.0,0.0,0.0
ring,0.60,coherent-dominated,0.5,24,0.5,0.4583333333333333,0.0,0.0,0.0,0.041666666666666664
ring,0.90,dephasing-assisted,0.4583333333333333,24,0.4166666666666667,0.4583333333333333,0.0,0.0,0.0,0.125
ring,1.20,coherent-dominated,0.5416666666666666,24,0.5416666666666666,0.3333333333333333,0.0,0.0,0.0,0.125
square_lattice_2d,0.00,dephasing-assisted,0.75,24,0.25,0.75,0.0,0.0,0.0,0.0
square_lattice_2d,0.60,dephasing-assisted,0.625,24,0.25,0.625,0.0,0.0,0.0,0.125
square_lattice_2d,0.90,dephasing-assisted,0.5416666666666666,24,0.375,0.5416666666666666,0.0,0.0,0.0,0.08333333333333333
square_lattice_2d,1.20,dephasing-assisted,0.5,24,0.375,0.5,0.0,0.0,0.0,0.125
