record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
chain_N8_r0_s9308_target-far_W0.600_seed17,chain,8,chain_N8_r0_s9308,far,0,0.6,17,0.47253954412013094,0.0351930962243394,0.4373464478957915,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed3,chain,8,chain_N8_r0_s9308,far,0,0.9,3,0.4394307056929351,0.0351930962243394,0.40423760946859566,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed5,chain,8,chain_N8_r0_s9308,far,0,0.9,5,0.3763033956600952,0.0351930962243394,0.34111029943575577,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed7,chain,8,chain_N8_r0_s9308,far,0,0.9,7,0.5172270775624128,0.0351930962243394,0.4820339813380734,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed11,chain,8,chain_N8_r0_s9308,far,0,0.9,11,0.23075136380580588,0.0351930962243394,0.1955582675814665,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed13,chain,8,chain_N8_r0_s9308,far,0,0.9,13,0.3712017978538493,0.0351930962243394,0.3360087016295099,quantum_higher
chain_N8_r0_s9308_target-far_W0.900_seed17,chain,8,chain_N8_r0_s9308,far,0,0.9,17,0.4280013780399045,0.0351930962243394,0.3928082818155651,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed3,chain,8,chain_N8_r0_s9308,far,0,1.2,3,0.2853770757644388,0.0351930962243394,0.2501839795400994,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed5,chain,8,chain_N8_r0_s9308,far,0,1.2,5,0.4067829761863541,0.0351930962243394,0.3715898799620147,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed7,chain,8,chain_N8_r0_s9308,far,0,1.2,7,0.284303184150399,0.0351930962243394,0.2491100879260596,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed11,chain,8,chain_N8_r0_s9308,far,0,1.2,11,0.401002487746013,0.0351930962243394,0.3658093915216736,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed13,chain,8,chain_N8_r0_s9308,far,0,1.2,13,0.3811488068078997,0.0351930962243394,0.3459557105835603,quantum_higher
chain_N8_r0_s9308_target-far_W1.200_seed17,chain,8,chain_N8_r0_s9308,far,0,1.2,17,0.2019040229739318,0.0351930962243394,0.16671092674959243,quantum_higher
chain_N12_r0_s9312_target-near_W0.000_seed3,chain,12,chain_N12_r0_s9312,near,10,0.0,3,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.000_seed5,chain,12,chain_N12_r0_s9312,near,10,0.0,5,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.000_seed7,chain,12,chain_N12_r0_s9312,near,10,0.0,7,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.000_seed11,chain,12,chain_N12_r0_s9312,near,10,0.0,11,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.000_seed13,chain,12,chain_N12_r0_s9312,near,10,0.0,13,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.000_seed17,chain,12,chain_N12_r0_s9312,near,10,0.0,17,0.589011516064706,0.7462446193752426,-0.15723310331053653,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed3,chain,12,chain_N12_r0_s9312,near,10,0.6,3,0.5930413903135758,0.7462446193752426,-0.15320322906166672,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed5,chain,12,chain_N12_r0_s9312,near,10,0.6,5,0.599943711837363,0.7462446193752426,-0.1463009075378796,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed7,chain,12,chain_N12_r0_s9312,near,10,0.6,7,0.5933974132521276,0.7462446193752426,-0.15284720612311498,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed11,chain,12,chain_N12_r0_s9312,near,10,0.6,11,0.5963309074714944,0.7462446193752426,-0.14991371190374814,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed13,chain,12,chain_N12_r0_s9312,near,10,0.6,13,0.5929380858794202,0.7462446193752426,-0.15330653349582235,classical_higher
chain_N12_r0_s9312_target-near_W0.600_seed17,chain,12,chain_N12_r0_s9312,near,10,0.6,17,0.6223285500585424,0.7462446193752426,-0.12391606931670018,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed3,chain,12,chain_N12_r0_s9312,near,10,0.9,3,0.6159595568262675,0.7462446193752426,-0.1302850625489751,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed5,chain,12,chain_N12_r0_s9312,near,10,0.9,5,0.5886738598329262,0.7462446193752426,-0.15757075954231636,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed7,chain,12,chain_N12_r0_s9312,near,10,0.9,7,0.6010865153611733,0.7462446193752426,-0.14515810401406926,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed11,chain,12,chain_N12_r0_s9312,near,10,0.9,11,0.5887204450394405,0.7462446193752426,-0.15752417433580201,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed13,chain,12,chain_N12_r0_s9312,near,10,0.9,13,0.6047169545739098,0.7462446193752426,-0.14152766480133272,classical_higher
chain_N12_r0_s9312_target-near_W0.900_seed17,chain,12,chain_N12_r0_s9312,near,10,0.9,17,0.627223950648075,0.7462446193752426,-0.11902066872716754,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed3,chain,12,chain_N12_r0_s9312,near,10,1.2,3,0.6386231733896132,0.7462446193752426,-0.1076214459856294,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed5,chain,12,chain_N12_r0_s9312,near,10,1.2,5,0.6130870539814309,0.7462446193752426,-0.13315756539381163,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed7,chain,12,chain_N12_r0_s9312,near,10,1.2,7,0.6006188883742392,0.7462446193752426,-0.1456257310010034,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed11,chain,12,chain_N12_r0_s9312,near,10,1.2,11,0.6462426182365658,0.7462446193752426,-0.10000200113867674,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed13,chain,12,chain_N12_r0_s9312,near,10,1.2,13,0.6164546677438646,0.7462446193752426,-0.12978995163137796,classical_higher
chain_N12_r0_s9312_target-near_W1.200_seed17,chain,12,chain_N12_r0_s9312,near,10,1.2,17,0.726531053610003,0.7462446193752426,-0.019713565765239527,classical_explains
chain_N12_r0_s9312_target-far_W0.000_seed3,chain,12,chain_N12_r0_s9312,far,0,0.0,3,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.000_seed5,chain,12,chain_N12_r0_s9312,far,0,0.0,5,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.000_seed7,chain,12,chain_N12_r0_s9312,far,0,0.0,7,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.000_seed11,chain,12,chain_N12_r0_s9312,far,0,0.0,11,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.000_seed13,chain,12,chain_N12_r0_s9312,far,0,0.0,13,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.000_seed17,chain,12,chain_N12_r0_s9312,far,0,0.0,17,0.5468310919483509,0.0012447409772554292,0.5455863509710954,quantum_higher
chain_N12_r0_s9312_target-far_W0.600_seed3,chain,12,chain_N12_r0_s9312,far,0,0.6,3,0.42518220016373265,0.0012447409772554292,0.42393745918647724,quantum_higher
chain_N12_r0_s9312_target-far_W0.600_seed5,chain,12,chain_N12_r0_s9312,far,0,0.6,5,0.3769431330683495,0.0012447409772554292,0.37569839209109407,quantum_higher
chain_N12_r0_s9312_target-far_W0.600_seed7,chain,12,chain_N12_r0_s9312,far,0,0.6,7,0.4706914194213047,0.0012447409772554292,0.4694466784440493,quantum_higher
chain_N12_r0_s9312_target-far_W0.600_seed11,chain,12,chain_N12_r0_s9312,far,0,0.6,11,0.39288455581708437,0.0012447409772554292,0.39163981483982896,quantum_higher
chain_N12_r0_s9312_target-far_W0.600_seed13,chain,12,chain_N12_r0_s9312,far,0,0.6,13,0.4911033286990586,0.0012447409772554292,0.4898585877218032,quantum_higher
