family,target_style,best_arrival_n,best_arrival_mean,best_arrival_std,best_arrival_sem,best_arrival_ci95_low,best_arrival_ci95_high,dephasing_gain_n,dephasing_gain_mean,dephasing_gain_std,dephasing_gain_sem,dephasing_gain_ci95_low,dephasing_gain_ci95_high,best_sink_hitting_time_filled_n,best_sink_hitting_time_filled_mean,best_sink_hitting_time_filled_std,best_sink_hitting_time_filled_sem,best_sink_hitting_time_filled_ci95_low,best_sink_hitting_time_filled_ci95_high,topology_target_degree_n,topology_target_degree_mean,topology_target_degree_std,topology_target_degree_sem,topology_target_degree_ci95_low,topology_target_degree_ci95_high,topology_initial_target_distance_n,topology_initial_target_distance_mean,topology_initial_target_distance_std,topology_initial_target_distance_sem,topology_initial_target_distance_ci95_low,topology_initial_target_distance_ci95_high,topology_target_closeness_n,topology_target_closeness_mean,topology_target_closeness_std,topology_target_closeness_sem,topology_target_closeness_ci95_low,topology_target_closeness_ci95_high,quantum_minus_classical_n,quantum_minus_classical_mean,quantum_minus_classical_std,quantum_minus_classical_sem,quantum_minus_classical_ci95_low,quantum_minus_classical_ci95_high
bottleneck,far,48,0.47358198117545425,0.1387253632128255,0.020023281448588354,0.4343363495362211,0.5128276128146875,48,0.00277015822676578,0.011660726190541646,0.0016830808512639348,-0.000528680241711532,0.006068996695243092,48,3.3067226890756296,1.0135306801983306,0.14629055276111266,3.019993205663849,3.5934521724874102,48,2.0,0.0,0.0,2.0,2.0,48,6.0,1.0105823052798226,0.14586499149789456,5.714104616664127,6.285895383335873,48,0.3059523809523809,0.044513744399230275,0.0064250055778834496,0.29335937001972934,0.3185453918850325,48,0.3988517370711555,0.11096257917722072,0.016016068739485887,0.36746024234176317,0.43024323180054785
bottleneck,near,48,0.4603996427841996,0.029570391605331023,0.004268118388345129,0.45203413074304316,0.468765154825356,48,0.13620538976381547,0.04448344202437063,0.006420631806812874,0.12362095142246224,0.1487898281051687,48,1.5798319327731096,0.18174290572949486,0.02623232888655716,1.5284165681554576,1.6312472973907617,48,2.5,0.5052911526399113,0.07293249574894728,2.3570523083320634,2.6429476916679366,48,1.0,0.0,0.0,1.0,1.0,48,0.380514705882353,0.057588329896460476,0.008312159441975608,0.3642228733760808,0.3968065383886252,48,-0.0928592497547887,0.04423236482883694,0.006384391935205686,-0.10537265794779184,-0.08034584156178555
chain,far,48,0.40446787606219586,0.149276959092083,0.021546273128905717,0.36223718072954064,0.4466985713948511,48,0.002096684022016341,0.008851196861572477,0.0012775602226698102,-0.00040733401441648675,0.004600702058449169,48,6.123949579831933,2.0175295951083205,0.2912053137084564,5.553187164963359,6.694711994700508,48,1.0,0.0,0.0,1.0,1.0,48,9.0,2.0211646105596452,0.2917299829957891,8.428209233328253,9.571790766671747,48,0.20833333333333334,0.04210759605332595,0.006077707979078941,0.1964210256943386,0.22024564097232807,48,0.3862489574613985,0.14454157473429202,0.020862779270483977,0.3453579100912499,0.42714000483154707
chain,near,48,0.6075077795101395,0.023823244471648762,0.0034385891521691693,0.6007681447718879,0.614247414248391,48,0.1508938980927803,0.07794975602492134,0.011251078156063497,0.12884178490689585,0.17294601127866477,48,1.1113445378151259,0.025388249388446697,0.003664478154668263,1.104162160631976,1.1185269149982757,48,2.0,0.0,0.0,2.0,2.0,48,1.0,0.0,0.0,1.0,1.0,48,0.2573051948051948,0.061520838389599604,0.008879768151251698,0.2399008492287415,0.27470954038164813,48,-0.13879524127415496,0.023825383080320672,0.0034388978337422742,-0.1455354810282898,-0.13205500152002012
clustered,far,48,0.4732311422053737,0.13698625104284215,0.019772262228715642,0.4344775082370911,0.5119847761736563,48,0.001547742897190909,0.006210187063352697,0.0008963632931861528,-0.00020912915745395044,0.003304614951835768,48,3.2773109243697482,0.8761473692443181,0.1264609798707474,3.029447403823083,3.5251744449164133,48,2.0,0.0,0.0,2.0,2.0,48,6.0,1.0105823052798226,0.14586499149789456,5.714104616664127,6.285895383335873,48,0.3059523809523809,0.044513744399230275,0.0064250055778834496,0.29335937001972934,0.3185453918850325,48,0.398500898101075,0.10861965904902197,0.01567789734780955,0.36777221929936826,0.4292295769027817
clustered,near,48,0.45838417823040367,0.03238813868935362,0.004674825147712312,0.4492215209408875,0.4675468355199198,48,0.12209028876920434,0.056175956258540806,0.008108300866963295,0.10619801906995628,0.1379825584684524,48,1.4138655462184875,0.05692842677525908,0.008216910630809433,1.397760401382101,1.429970691054874,48,2.0,0.0,0.0,2.0,2.0,48,1.0,0.0,0.0,1.0,1.0,48,0.37152777777777785,0.06667036041776607,0.009623037633541654,0.3526666240160362,0.3903889315395195,48,-0.04768083265695089,0.0131235074243417,0.0018942151360389332,-0.0513934943235872,-0.04396817099031458
modular_two_community,far,144,0.2350492365179481,0.06286803688659891,0.005239003073883242,0.22478079049313693,0.24531768254275926,144,0.08436337530298685,0.05613481372595718,0.004677901143829765,0.07519468906108051,0.09353206154489319,144,6.3354341736694675,2.0404094535557116,0.17003412112964264,6.002167296255368,6.668701051083567,144,2.6666666666666665,1.4959151840135316,0.1246595986677943,2.42233385327779,2.910999480055543,144,3.5,0.7664284620319025,0.06386903850265854,3.3748166845347893,3.6251833154652107,144,0.4484126984126985,0.04677617344649002,0.0038980144538741687,0.4407725900831051,0.45605280674229187,144,0.1240011972699223,0.04860814503481272,0.00405067875290106,0.11606186691423623,0.13194052762560837
modular_two_community,near,144,0.48455691251955924,0.09837462251462677,0.00819788520955223,0.46848905750883685,0.5006247675302816,144,0.0959807500817535,0.08536429551323348,0.007113691292769456,0.08203791514792536,0.10992358501558164,144,1.5252100840336136,0.4548771322349139,0.037906427686242826,1.4509134857685777,1.5995066822986495,144,3.6666666666666665,0.9460998335825321,0.07884165279854434,3.5121370271815198,3.8211963061518133,144,1.0,0.0,0.0,1.0,1.0,144,0.514928774928775,0.051961942546627504,0.004330161878885626,0.5064416576461591,0.5234158922113908,144,-0.028814057569599674,0.08575384171360176,0.00714615347613348,-0.04282051838282129,-0.014807596756378053
random_geometric,far,120,0.22924614958403686,0.08676674075038308,0.007920683525031256,0.2137216098749756,0.24477068929309811,120,0.06457536635301458,0.04535746019938292,0.004140550683724133,0.05645988701291529,0.07269084569311389,120,6.876470588235295,2.422154958482866,0.2211114847556758,6.44309207811417,7.309849098356419,120,1.0,0.0,0.0,1.0,1.0,120,3.8,0.7514691493021795,0.06859943405700354,3.665545109248273,3.9344548907517267,120,0.3555473856209149,0.034650214816463784,0.003163117379562824,0.34934767555697177,0.3617470956848581,120,0.17921616820041003,0.07258109166249667,0.0066257168586499274,0.16622976315745616,0.1922025732433639
random_geometric,near,144,0.43253958474314635,0.0891809811958692,0.0074317484329891005,0.41797335781448774,0.44710581167180496,144,0.10896235002564407,0.07329959192262166,0.006108299326885138,0.0969900833449492,0.12093461670633894,144,2.112044817927171,0.7462602039176764,0.06218835032647304,1.9901556512872838,2.233933984567058,144,4.5,1.7137861409939505,0.1428155117494959,4.220081596970988,4.779918403029012,144,1.0,0.0,0.0,1.0,1.0,144,0.597176740623593,0.20889910292152733,0.017408258576793945,0.563056553813077,0.6312969274341091,144,-0.047041492733114414,0.09061751742843797,0.007551459785703165,-0.06184235391309262,-0.03224063155313621
ring,far,48,0.4639465236813011,0.1478357016991491,0.02133824554296024,0.42212356241709903,0.5057694849455032,48,0.00735892239098123,0.017524254145073272,0.0025294082120013673,0.0024012822954585502,0.01231656248650391,48,3.3214285714285716,1.1237591136818152,0.16220065669712283,3.003515284302211,3.6393418585549324,48,2.0,0.0,0.0,2.0,2.0,48,5.0,1.0105823052798226,0.14586499149789456,4.714104616664127,5.285895383335873,48,0.37152777777777785,0.06667036041776607,0.009623037633541654,0.3526666240160362,0.3903889315395195,48,0.3112213953784042,0.11908562726009471,0.01718852973880778,0.27753187709034094,0.3449109136664675
ring,near,48,0.45488216025925926,0.04805511965082319,0.006936159066585611,0.4412872884887515,0.46847703202976704,48,0.08480089477673387,0.059188458389711145,0.008543118096054673,0.06805638330846671,0.10154540624500104,48,1.2100840336134455,0.07205945556408366,0.010400886516895396,1.1896982960403306,1.2304697711865604,48,2.0,0.0,0.0,2.0,2.0,48,1.0,0.0,0.0,1.0,1.0,48,0.37152777777777785,0.06667036041776607,0.009623037633541654,0.3526666240160362,0.3903889315395195,48,-0.020481970845957664,0.04358178202274877,0.006290488395649399,-0.03281132810143049,-0.008152613590484841
square_lattice_2d,far,48,0.465453651697506,0.06257133396632107,0.009031394127252361,0.4477521192080914,0.48315518418692066,48,0.032782612108250266,0.0397978389051761,0.005744323251267196,0.021523738535766564,0.04404148568073397,48,2.1449579831932772,0.24324699264227093,0.03510967917039551,2.076143012019302,2.2137729543672524,48,2.0,0.0,0.0,2.0,2.0,48,4.0,1.0105823052798226,0.14586499149789456,3.7141046166641267,4.285895383335873,48,0.43333333333333335,0.06737215368532153,0.009724332766526306,0.4142736411109418,0.4523930255557249,48,0.28085937469262595,0.1107511493909855,0.015985551478486484,0.24952769379479245,0.31219105559045945
square_lattice_2d,near,48,0.4256386467738064,0.05247587304151428,0.007574239856619724,0.41079313665483175,0.4404841568927811,48,0.11695792046311566,0.09159014725972693,0.013219899043880204,0.09104691833711047,0.14286892258912087,48,2.1029411764705883,0.6271621015587128,0.09052305204011356,1.9255159944719658,2.2803663584692107,48,3.5,0.5052911526399113,0.07293249574894728,3.3570523083320634,3.6429476916679366,48,1.0,0.0,0.0,1.0,1.0,48,0.5615384615384614,0.13992678073105236,0.020196691130477704,0.5219529469227251,0.6011239761541978,48,-0.09800546388384584,0.0456164026216665,0.006584160583270377,-0.11091041862705578,-0.08510050914063591
