family,best_arrival_n,best_arrival_mean,best_arrival_std,best_arrival_sem,best_arrival_ci95_low,best_arrival_ci95_high,dephasing_gain_n,dephasing_gain_mean,dephasing_gain_std,dephasing_gain_sem,dephasing_gain_ci95_low,dephasing_gain_ci95_high,best_sink_hitting_time_filled_n,best_sink_hitting_time_filled_mean,best_sink_hitting_time_filled_std,best_sink_hitting_time_filled_sem,best_sink_hitting_time_filled_ci95_low,best_sink_hitting_time_filled_ci95_high,best_mean_coherence_l1_n,best_mean_coherence_l1_mean,best_mean_coherence_l1_std,best_mean_coherence_l1_sem,best_mean_coherence_l1_ci95_low,best_mean_coherence_l1_ci95_high,best_final_entropy_n,best_final_entropy_mean,best_final_entropy_std,best_final_entropy_sem,best_final_entropy_ci95_low,best_final_entropy_ci95_high,best_final_purity_n,best_final_purity_mean,best_final_purity_std,best_final_purity_sem,best_final_purity_ci95_low,best_final_purity_ci95_high,best_population_shannon_entropy_n,best_population_shannon_entropy_mean,best_population_shannon_entropy_std,best_population_shannon_entropy_sem,best_population_shannon_entropy_ci95_low,best_population_shannon_entropy_ci95_high,best_participation_ratio_n,best_participation_ratio_mean,best_participation_ratio_std,best_participation_ratio_sem,best_participation_ratio_ci95_low,best_participation_ratio_ci95_high,best_ipr_n,best_ipr_mean,best_ipr_std,best_ipr_sem,best_ipr_ci95_low,best_ipr_ci95_high,best_final_msd_n,best_final_msd_mean,best_final_msd_std,best_final_msd_sem,best_final_msd_ci95_low,best_final_msd_ci95_high,best_final_front_width_n,best_final_front_width_mean,best_final_front_width_std,best_final_front_width_sem,best_final_front_width_ci95_low,best_final_front_width_ci95_high,quantum_minus_classical_n,quantum_minus_classical_mean,quantum_minus_classical_std,quantum_minus_classical_sem,quantum_minus_classical_ci95_low,quantum_minus_classical_ci95_high,quantum_classical_verdict,record_count
bottleneck,96,0.46699081197982695,0.09998788856275269,0.010204971143208758,0.4469890685391378,0.4869925554205161,96,0.06948777399529062,0.07446032319654632,0.00759957491309419,0.054592607165626,0.08438294082495523,96,2.44327731092437,1.130461302322989,0.11537722352722814,2.2171379528110027,2.669416669037737,96,2.024392939767624,1.737885119466074,0.1773721572611528,1.6767435115357645,2.3720423679994833,96,1.2713366881501937,1.1207580936449213,0.11438689393851931,1.0471383760306958,1.4955350002696917,96,0.4989497768206474,0.4377859375982189,0.04468134015339807,0.4113743501199872,0.5865252035213077,96,1.996146558390347,0.45494912082060796,0.04643305020576267,1.9051377799870521,2.087155336793642,96,7.441928986411054,3.3395073524493935,0.34083704190724157,6.77388838427286,8.109969588549248,96,0.18760025162440488,0.14358368386894702,0.014654448369500342,0.15887753282018421,0.21632297042862556,96,6.473692754699779,1.8466214025092518,0.1884700076770958,6.104291539652671,6.843093969746887,96,1.5503435193313024,0.24405541178157272,0.024908801159570303,1.5015222690585446,1.5991647696040603,96,0.1529962436581834,0.2610377041760106,0.02664204911911698,0.10077782738471411,0.2052146599316527,quantum_higher,96
chain,96,0.5059878277861677,0.14737739809502207,0.015041642706326236,0.47650620808176825,0.5354694474905671,96,0.07649529105739833,0.0929423446085045,0.0094858883245313,0.05790294994131698,0.09508763217347968,96,3.617647058823529,2.89167466358213,0.29513030949626773,3.039191652210844,4.196102465436214,96,2.0221162791442966,1.8958972846306987,0.19349920633639067,1.642857834724971,2.4013747235636225,96,1.1873358619032657,1.114275435066739,0.11372526036796836,0.9644343515820477,1.4102373722244836,96,0.5272963585806021,0.4394727507266067,0.04485349979739715,0.4393834989777037,0.6152092181835005,96,2.049562328985182,0.3162504820955817,0.03227717966847344,1.986299056834974,2.11282560113539,96,7.38186775365089,2.7446093993422775,0.2801205238181337,6.832831526967348,7.930903980334432,96,0.1586423325270598,0.0692029144776555,0.0070629928826549445,0.14479886647705612,0.1724857985770635,96,25.90713726493318,11.692735395830782,1.1933848090485544,23.568103039198014,28.246171490668345,96,2.65611566562485,0.6617712531859319,0.06754174569782125,2.5237338440571206,2.7884974871925796,96,0.12372685809362176,0.28330251439951853,0.028914441796929348,0.06705455217164025,0.18039916401560327,quantum_higher,96
clustered,96,0.4658076602178887,0.0992900550360909,0.010133748807136746,0.4459455125559007,0.48566980787987674,96,0.06181901583319762,0.07246519596974967,0.00739594809319478,0.047322957570535853,0.07631507409585939,96,2.3455882352941178,1.1218847675215078,0.114501884609526,2.121164541459447,2.5700119291287886,96,2.2464712866589522,1.9033550347960355,0.19426035977531703,1.8657209814993307,2.6272215918185737,96,1.1190830742036542,1.1350094002355584,0.11584141182664531,0.8920339070234293,1.346132241383879,96,0.5562610655853875,0.44640592710008087,0.045561114147885974,0.466961281855531,0.6455608493152439,96,1.9675891430824552,0.44052509069557283,0.04496090379572646,1.8794657716428314,2.055712514522079,96,7.095565429133145,3.205831471946834,0.3271938044843862,6.454265572343748,7.7368652859225415,96,0.1933902904172772,0.14165439334975943,0.014457540980433725,0.1650535100956271,0.2217270707389273,96,13.474677772777909,5.883911701754292,0.6005242233703773,12.29765029497197,14.651705250583849,96,2.2136136132961095,0.4368379367576476,0.04458458522276769,2.126227826259485,2.300999400332734,96,0.17541003272206201,0.23709839736874203,0.024198753849377655,0.1279804751772818,0.22283959026684222,quantum_higher,96
modular_two_community,288,0.35980307451875376,0.14969629597526105,0.008820938833551298,0.34251403440499323,0.3770921146325143,288,0.09017206269237016,0.07235166591274213,0.0042633627997536285,0.08181587160485304,0.09852825377988728,288,3.930322128851541,2.8252783286123178,0.16648112207509708,3.6040191295843504,4.256625128118731,288,1.380105633321313,1.4640233612556288,0.08626840387994815,1.2110195617166146,1.5491917049260115,288,1.7970983573447386,0.8669932490543872,0.05108806713744288,1.6969657457553504,1.8972309689341267,288,0.27869320711750234,0.3406567420231295,0.020073391028455935,0.23934936070172871,0.318037053533276,288,2.172205533895612,0.23537059172627772,0.01386934512512844,2.1450216174503605,2.1993894503408637,288,8.556392326942623,2.2861360650797105,0.13471185952774947,8.292357082268234,8.820427571617012,288,0.12827492891352438,0.05034295570283814,0.0029664871135375685,0.12246061417099074,0.134089243656058,288,1.2031882084407453,0.5826487408672113,0.03433290630975072,1.135895712073634,1.2704807048078566,288,0.7070953914149084,0.10121398744049107,0.005964091405841775,0.6954057722594585,0.7187850105703583,288,0.047593569850161305,0.10343972322736496,0.006095244144844116,0.03564689132626683,0.059540248374055776,classical_explains,288
random_geometric,264,0.340133477852642,0.1342253070589466,0.008260996586522245,0.32394192454305837,0.3563250311622256,264,0.08878644835626703,0.06589807049146998,0.0040557458747281045,0.08083718644179995,0.09673571027073412,264,4.277692895339954,2.933737572282244,0.18055906595715468,3.9237971260639313,4.631588664615977,264,1.5038111784307984,1.4032394324961635,0.08636341697347275,1.3345388811627918,1.673083475698805,264,1.8382192101122752,0.8920040059423273,0.054899051525489316,1.7306170691223162,1.9458213511022342,264,0.2755300654888705,0.3442561840873454,0.02118750348908349,0.23400255865026687,0.3170575723274741,264,2.184659331532695,0.28874274945611844,0.017770887770012768,2.14982839150347,2.21949027156192,264,8.794555006588295,2.609548949186756,0.1606066354694744,8.479766001068125,9.109344012108465,264,0.12968691570366772,0.062739513110636,0.003861350106052789,0.12211866949580426,0.1372551619115312,264,0.32307885882085885,0.1391487349090168,0.008564012623919402,0.30629339407797684,0.33986432356374086,264,0.3938462001037766,0.06826775938504889,0.0042015901442620015,0.38561108342102307,0.4020813167865301,264,0.05580289860030579,0.13996097938813967,0.008614002815906885,0.03891945308112829,0.07268634411948328,quantum_higher,264
ring,96,0.45941434197028014,0.10943454173417559,0.011169116145168365,0.43752287432575016,0.4813058096148101,96,0.04607990858385755,0.05831148242190433,0.005951390753289011,0.03441518270741109,0.057744634460304006,96,2.2657563025210083,1.3242034045556024,0.13515094403406297,2.000860452214245,2.5306521528277717,96,2.326452904139496,1.8323857726455048,0.18701708978820805,1.9598994081546082,2.693006400124384,96,1.1805041600732975,1.111222683204557,0.11341369018573183,0.9582133273092631,1.402794992837332,96,0.5312402113161151,0.43757651454652086,0.04465996600268821,0.4437066779508462,0.618773744681384,96,2.0401642551045245,0.3485878291997729,0.03557759633682909,1.9704321662843394,2.1098963439247096,96,7.508214988509107,2.842504871623103,0.29011193861883355,6.939595588816194,8.076834388202021,96,0.15932923930046008,0.07763542327458144,0.007923632207821569,0.1437989201731298,0.17485955842779036,96,5.552096695262988,2.572965065127715,0.26260214731540793,5.037396486524789,6.066796904001188,96,1.569586625246138,0.31098632450758495,0.03173990883446543,1.5073764039305857,1.63179684656169,96,0.14536971226622328,0.18908217645768285,0.019298118824008878,0.10754539937116588,0.1831940251612807,quantum_higher,96
square_lattice_2d,96,0.4455461492356563,0.06082619050186745,0.006208047071954163,0.4333783769746261,0.45771392149668644,96,0.07487026628568295,0.08199902852688838,0.00836899080394993,0.05846704430994109,0.09127348826142481,96,2.1239495798319328,0.47361916456380954,0.04833855356602457,2.029206014842525,2.2186931448213407,96,1.8509893087762614,1.7407299245070231,0.1776625039598204,1.5027708010150134,2.1992078165375095,96,1.4910637094310744,1.0232777677274618,0.10443784983610356,1.2863655237523113,1.6957618951098374,96,0.3964866055226121,0.40984418005938245,0.041829546466451636,0.3145006944483669,0.4784725165968573,96,2.1449171681128973,0.19462752718213328,0.019864088812328737,2.105983554040733,2.1838507821850617,96,8.171991212366265,2.154934709041129,0.21993710275682074,7.740914490962896,8.603067933769633,96,0.13112870822740738,0.03553969444909673,0.0036272548756129458,0.12401928867120601,0.13823812778360875,96,3.6241883114881257,1.3654785082314174,0.13936356666265554,3.3510357208293207,3.8973409021469307,96,1.2161439389721878,0.13427016512725926,0.013703891343376047,1.1892843119391707,1.2430035660052048,96,0.09142695540439005,0.20823112730479496,0.021252500435886394,0.04977205455005272,0.13308185625872737,quantum_higher,96
