record_id,family,instance_id,graph_seed,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,zero_dephasing_arrival,best_arrival,dephasing_gain,best_dephasing_over_coupling,high_dephasing_penalty,mean_arrival_over_dephasing,arrival_std_over_dephasing,best_loss_population,best_network_population,best_mean_coherence_l1,best_final_purity,best_final_entropy,best_population_shannon_entropy,best_participation_ratio,best_ipr,best_final_msd,best_final_front_width,best_integrated_interface_current,best_sink_hitting_time_filled,best_transfer_time_filled,regime_label,regime_confidence,regime_reason_codes,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,n_sites,realization,classical_arrival,classical_sink_hitting_time_filled,classical_transfer_time_filled,classical_population_closure_error,quantum_minus_classical,qc_case_label,spatial_observable_context,record_key
bottleneck_N8_r0_s9308_target-far_W1.200_seed17,bottleneck,bottleneck_N8_r0_s9308,9308,17,1.2,far,7,0,0.3521084858689416,0.3703950320440221,0.018286546175080465,0.2,0.07394060717190093,0.34855354856289705,0.024444717757752452,0.1708831209126852,0.4587218470432926,1.7616810943316912,0.16492603087773727,1.9345972625572194,2.025458922953356,7.183792027135807,0.1392022480916255,4.7700712152555536,1.543857547365742,0.0,3.226890756302521,12.0,mixed-crossover,0.40115523820354715,boundary_case;thresholds_compete,2.4424906541753444e-15,2.4424906541753444e-15,-6.099130241750335e-16,8.0,9.0,0.32142857142857145,2.25,0.4330127018922193,2.0,2.0,0.023809523809523808,0.35,5.0,0.38888888888888884,2.3429230827771703,4.440892098500626e-16,1.0,1.0000000000000004,0.20253164556962047,8,0,0.12352994796608667,10.689075630252102,12.0,3.1086244689504383e-15,0.2468650840779354,quantum_higher,graph_normalized,bottleneck|bottleneck_N8_r0_s9308|far|0|1.200000|17
bottleneck_N12_r0_s9312_target-near_W0.000_seed3,bottleneck,bottleneck_N12_r0_s9312,9312,3,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|3
bottleneck_N12_r0_s9312_target-near_W0.000_seed5,bottleneck,bottleneck_N12_r0_s9312,9312,5,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|5
bottleneck_N12_r0_s9312_target-near_W0.000_seed7,bottleneck,bottleneck_N12_r0_s9312,9312,7,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|7
bottleneck_N12_r0_s9312_target-near_W0.000_seed11,bottleneck,bottleneck_N12_r0_s9312,9312,11,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|11
bottleneck_N12_r0_s9312_target-near_W0.000_seed13,bottleneck,bottleneck_N12_r0_s9312,9312,13,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|13
bottleneck_N12_r0_s9312_target-near_W0.000_seed17,bottleneck,bottleneck_N12_r0_s9312,9312,17,0.0,near,11,9,0.3120891162081487,0.42521987178675097,0.11313075557860225,1.2,0.0,0.36116599732156635,0.037955373645127584,0.1557197666349588,0.4190603615782898,0.5492014991546517,0.08520727564259992,2.472724197027076,2.4767279616573865,11.814395325762222,0.08464250369372871,8.119193856951917,1.685924386122573,0.0,1.7142857142857144,12.0,dephasing-assisted,0.6175647916884065,success_improves_with_scrambling;nonzero_dephasing_optimum,1.5543122344752192e-15,1.6653345369377348e-15,-9.190186473421956e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.14318590506569523,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.000000|17
bottleneck_N12_r0_s9312_target-near_W0.600_seed3,bottleneck,bottleneck_N12_r0_s9312,9312,3,0.6,near,11,9,0.2726202341627814,0.430467436322487,0.1578472021597056,1.2,0.0,0.35098913557797257,0.053626189724374614,0.15491147239337633,0.4146210912841361,0.5638109143643761,0.08498464984468844,2.474108686488604,2.478027628008873,11.844197030425477,0.08442953097041457,8.05236898001942,1.6872172561195622,0.0,1.7142857142857144,12.0,dephasing-assisted,0.7246431526657198,success_improves_with_scrambling;nonzero_dephasing_optimum,3.1086244689504383e-15,2.886579864025407e-15,-8.255242256800967e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.13793834052995918,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.600000|3
bottleneck_N12_r0_s9312_target-near_W0.600_seed5,bottleneck,bottleneck_N12_r0_s9312,9312,5,0.6,near,11,9,0.40660144379460844,0.43696166789638274,0.030360224101774302,1.2,0.0,0.4108835832854995,0.012091044023702703,0.15402945757492845,0.40900887452868734,0.5692019431910625,0.08486632970900207,2.47486207139453,2.478628778115454,11.857814194972331,0.08433257458393945,8.019824752693266,1.6873225343992613,0.0,1.7142857142857144,12.0,dephasing-assisted,0.4588860494035782,success_improves_with_scrambling;nonzero_dephasing_optimum,1.887379141862766e-15,1.9984014443252818e-15,-5.493153881154163e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.13144410895606345,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.600000|5
bottleneck_N12_r0_s9312_target-near_W0.600_seed7,bottleneck,bottleneck_N12_r0_s9312,9312,7,0.6,near,11,9,0.3379499561147436,0.4335188397089314,0.0955688835941878,1.2,0.0,0.37647622244617635,0.03294806400257672,0.154056392230614,0.41242476806045403,0.564614307979758,0.08507868566089404,2.4735089598903777,2.477461660179974,11.831338751147443,0.08452128884425836,8.082415228409454,1.6860280432593042,0.0,1.7142857142857144,12.0,dephasing-assisted,0.5773747345732639,success_improves_with_scrambling;nonzero_dephasing_optimum,1.3322676295501878e-15,1.3322676295501878e-15,-7.9375326767575065e-16,12.0,15.0,0.22727272727272727,2.5,0.5,2.0,3.0,0.1333333333333333,0.3235294117647059,1.0,0.43333333333333335,2.606022485405904,4.440892098500626e-16,0.0,0.8265214297438584,0.11051196543402038,12,0,0.5684057768524462,1.3109243697478992,8.873949579831933,1.3322676295501878e-15,-0.1348869371435148,classical_higher,graph_normalized,bottleneck|bottleneck_N12_r0_s9312|near|9|0.600000|7
