record_id,family,instance_id,graph_seed,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,zero_dephasing_arrival,best_arrival,dephasing_gain,best_dephasing_over_coupling,high_dephasing_penalty,mean_arrival_over_dephasing,arrival_std_over_dephasing,best_loss_population,best_network_population,best_mean_coherence_l1,best_final_purity,best_final_entropy,best_population_shannon_entropy,best_participation_ratio,best_ipr,best_final_msd,best_final_front_width,best_integrated_interface_current,best_sink_hitting_time_filled,best_transfer_time_filled,regime_label,regime_confidence,regime_reason_codes,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr
chain_N6_r0_s1006_target-near_W0.000_seed3,chain,chain_N6_r0_s1006,1006,3,0.0,near,5,4,0.5045757232059382,0.5270115926614991,0.022435869455560864,0.2,0.0,0.5157936579337187,0.011217934727780432,0.12049354905195636,0.3524948582865449,0.9988645391757105,0.23091106235105116,1.6342815817478078,1.7721223023171684,5.763569257916147,0.17350359738048088,10.206673135749202,1.7326128726205672,0.0,1.0112359550561798,9.438202247191011,mixed-crossover,0.3861809071069531,boundary_case;thresholds_compete,8.881784197001252e-16,8.881784197001252e-16,-3.5206607726027803e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,2.0,0.4,0.45454545454545453,1.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.8711192398635156,0.21428571428571405
chain_N6_r0_s1006_target-near_W0.000_seed5,chain,chain_N6_r0_s1006,1006,5,0.0,near,5,4,0.5045757232059382,0.5270115926614991,0.022435869455560864,0.2,0.0,0.5157936579337187,0.011217934727780432,0.12049354905195636,0.3524948582865449,0.9988645391757105,0.23091106235105116,1.6342815817478078,1.7721223023171684,5.763569257916147,0.17350359738048088,10.206673135749202,1.7326128726205672,0.0,1.0112359550561798,9.438202247191011,mixed-crossover,0.3861809071069531,boundary_case;thresholds_compete,8.881784197001252e-16,8.881784197001252e-16,-3.5206607726027803e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,2.0,0.4,0.45454545454545453,1.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.8711192398635156,0.21428571428571405
chain_N6_r0_s1006_target-near_W0.600_seed3,chain,chain_N6_r0_s1006,1006,3,0.6,near,5,4,0.47937493130150394,0.5213782856204613,0.04200335431895735,0.2,0.0,0.5003766084609826,0.021001677159478677,0.12036191031789961,0.3582598040616393,1.062351635828792,0.23333932105416216,1.6287908305659518,1.7808808889442247,5.869401482024835,0.17037512309602962,9.817191082008538,1.7605461170229686,0.0,1.0112359550561798,9.550561797752808,dephasing-assisted,0.4715697297566482,success_improves_with_scrambling;nonzero_dephasing_optimum,1.6653345369377348e-15,1.6653345369377348e-15,-3.976537790048194e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,2.0,0.4,0.45454545454545453,1.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.8711192398635156,0.21428571428571405
chain_N6_r0_s1006_target-near_W0.600_seed5,chain,chain_N6_r0_s1006,1006,5,0.6,near,5,4,0.4961078045822885,0.5282494039504805,0.032141599368192,0.2,0.0,0.5121786042663845,0.016070799684096,0.11947544604132865,0.35227515000818943,1.064766830533873,0.224022565627687,1.6474658709478596,1.7695797346077924,5.746618378113871,0.17401538334414604,10.326760474371984,1.6701130620268032,0.0,1.0112359550561798,9.325842696629213,dephasing-assisted,0.4566747551251673,success_improves_with_scrambling;nonzero_dephasing_optimum,1.3322676295501878e-15,1.3322676295501878e-15,-4.733671549272804e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,2.0,0.4,0.45454545454545453,1.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.8711192398635156,0.21428571428571405
chain_N6_r0_s1006_target-far_W0.000_seed3,chain,chain_N6_r0_s1006,1006,3,0.0,far,5,0,0.6160552740213886,0.6160552740213886,0.0,0.0,0.06945667131039246,0.5813269383661923,0.03472833565519623,0.11231539664114168,0.2716293293374715,1.5045898891509208,0.9999999999999948,1.432228556544069e-10,1.587728107228153,4.513977707983904,0.22153410244611818,9.021951118982516,1.6841568980726904,0.0,3.1460674157303368,4.606741573033708,coherent-dominated,0.67,best_point_near_zero_scrambling;coherence_retained,1.7763568394002505e-15,1.7763568394002505e-15,-2.0652345627083694e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,1.0,0.0,0.3333333333333333,5.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.9999999999999999,0.21428571428571422
chain_N6_r0_s1006_target-far_W0.000_seed5,chain,chain_N6_r0_s1006,1006,5,0.0,far,5,0,0.6160552740213886,0.6160552740213886,0.0,0.0,0.06945667131039246,0.5813269383661923,0.03472833565519623,0.11231539664114168,0.2716293293374715,1.5045898891509208,0.9999999999999948,1.432228556544069e-10,1.587728107228153,4.513977707983904,0.22153410244611818,9.021951118982516,1.6841568980726904,0.0,3.1460674157303368,4.606741573033708,coherent-dominated,0.67,best_point_near_zero_scrambling;coherence_retained,1.7763568394002505e-15,1.7763568394002505e-15,-2.0652345627083694e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,1.0,0.0,0.3333333333333333,5.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.9999999999999999,0.21428571428571422
chain_N6_r0_s1006_target-far_W0.600_seed3,chain,chain_N6_r0_s1006,1006,3,0.6,far,5,0,0.5984718190930713,0.5984718190930713,0.0,0.0,0.06109364588119515,0.5679249961524737,0.030546822940597573,0.11470596282658649,0.286822218080343,1.7273872704325832,0.9999999999999992,1.43158972607482e-10,1.7253159919861114,5.386294229212469,0.18565640075444045,8.150720404650707,1.764008408504292,0.0,3.1460674157303368,4.719101123595506,coherent-dominated,0.67,best_point_near_zero_scrambling;coherence_retained,1.7763568394002505e-15,1.7763568394002505e-15,-3.487487204493149e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,1.0,0.0,0.3333333333333333,5.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.9999999999999999,0.21428571428571422
chain_N6_r0_s1006_target-far_W0.600_seed5,chain,chain_N6_r0_s1006,1006,5,0.6,far,5,0,0.559577040339458,0.559577040339458,0.0,0.0,0.05153061638662715,0.5338117321461444,0.025765308193313574,0.12153529351746883,0.3188876661430725,1.9113574236432744,0.9999999999999984,1.431692416584166e-10,1.6316807561940987,4.510200509356352,0.2217196326250935,10.377530090322642,1.6804210687048233,0.0,3.258426966292135,6.404494382022472,coherent-dominated,0.67,best_point_near_zero_scrambling;coherence_retained,1.3322676295501878e-15,1.3322676295501878e-15,-3.755393395989225e-16,6.0,5.0,0.3333333333333333,1.6666666666666667,0.4714045207910317,1.0,1.0,0.0,0.3333333333333333,5.0,0.26,1.801937735804838,4.440892098500626e-16,0.0,0.9999999999999999,0.21428571428571422
ring_N6_r0_s1006_target-near_W0.000_seed3,ring,ring_N6_r0_s1006,1006,3,0.0,near,5,0,0.32977577874386343,0.42668711320629127,0.09691133446242783,0.2,0.0,0.37823144597507735,0.04845566723121392,0.13467088640563912,0.4386420003880682,1.2525527354094284,0.2705249579174973,1.5376299478668876,1.7290892952021557,5.3480527942984795,0.1869839432150133,2.204022607386102,0.9921861615558324,0.0,1.1235955056179776,10.0,dephasing-assisted,0.5821925682361537,success_improves_with_scrambling;nonzero_dephasing_optimum,1.4432899320127035e-15,1.4432899320127035e-15,-5.09470682938893e-16,6.0,6.0,0.4,2.0,0.0,2.0,2.0,0.2,0.5555555555555556,1.0,0.16666666666666666,1.9999999999999998,2.220446049250313e-16,2.0,0.666666666666667,0.277777777777778
ring_N6_r0_s1006_target-near_W0.000_seed5,ring,ring_N6_r0_s1006,1006,5,0.0,near,5,0,0.32977577874386343,0.42668711320629127,0.09691133446242783,0.2,0.0,0.37823144597507735,0.04845566723121392,0.13467088640563912,0.4386420003880682,1.2525527354094284,0.2705249579174973,1.5376299478668876,1.7290892952021557,5.3480527942984795,0.1869839432150133,2.204022607386102,0.9921861615558324,0.0,1.1235955056179776,10.0,dephasing-assisted,0.5821925682361537,success_improves_with_scrambling;nonzero_dephasing_optimum,1.4432899320127035e-15,1.4432899320127035e-15,-5.09470682938893e-16,6.0,6.0,0.4,2.0,0.0,2.0,2.0,0.2,0.5555555555555556,1.0,0.16666666666666666,1.9999999999999998,2.220446049250313e-16,2.0,0.666666666666667,0.277777777777778
