scenario,topology,n_sites,best_regime,eta_coherent,eta_best,gamma_best,eta_high,coherence_best,loss_best
Complete graph,complete,4,intermediate,0.29967524964259573,0.7979444392280711,3.2,0.7689573785060859,0.11244437704921209,0.14054262290097322
Ring graph,ring,4,coherent,0.7954220206603638,0.7954220206603638,0.0,0.6202041855690843,0.5683688674235495,0.15875127629102487
Chain graph,chain,5,coherent,0.8120840583381616,0.8120840583381616,0.0,0.24512250783113002,0.7338522286947952,0.1255694444402066
