study,x_value,topology,trap_site,n_sites,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,n_realizations
sink_position_sweep,2,chain,2,5,intermediate,0.7216804833590764,0.01057728407008567,0.8,0.2086595103355769,1.5864126035226174,1.60217077810415,4.932502882461916,0.20273835147836203,32
sink_position_sweep,3,chain,3,5,intermediate,0.6862518510155984,0.020111011206084824,0.4,0.21869461450088323,1.5597522477145929,1.5965191298003873,4.88087557334134,0.20489281561833347,32
sink_position_sweep,4,chain,4,5,intermediate,0.7266353536166781,0.04989618010554821,0.04,0.5173977696180457,0.987256347420184,1.4703232208710073,3.930701072559963,0.2573318373561655,32
sink_position_sweep,0,ring,0,5,intermediate,0.7098488714252278,0.017696060295439516,0.8,0.21057514325465426,1.58123427772226,1.5989664654955755,4.903047963630165,0.20395659622673812,32
sink_position_sweep,1,ring,1,5,intermediate,0.7065285554928635,0.01644936705157621,0.8,0.21049487915360057,1.5813977834106712,1.5991395063772307,4.904980712711678,0.2038769899624355,32
sink_position_sweep,2,ring,2,5,intermediate,0.703390322888971,0.015358573927744514,0.8,0.21048627181539786,1.5814450651712302,1.5990987953871254,4.904304522875989,0.20390463576020412,32
sink_position_sweep,3,ring,3,5,intermediate,0.7016815510021183,0.017220529859378234,0.8,0.2108344230121091,1.580440808049845,1.5984810760121604,4.898927357731377,0.20412864089953675,32
sink_position_sweep,4,ring,4,5,intermediate,0.7041413468911084,0.01406496587770093,0.8,0.2108022230915137,1.5805557030058646,1.5985896283447005,4.899855684578179,0.20408947807828343,32
sink_position_sweep,0,complete,0,5,intermediate,0.6930637760087583,0.010063220483537721,3.2,0.20641827725555364,1.5917132231228535,1.5967395976979657,4.886320480495687,0.20465461219841427,32
sink_position_sweep,1,complete,1,5,intermediate,0.6907756363782218,0.011809647342002181,3.2,0.20656657074704593,1.5912694218028673,1.5963492954699492,4.88312523531839,0.20478905988696605,32
sink_position_sweep,2,complete,2,5,intermediate,0.6903515442529715,0.010847274936774816,3.2,0.20657720515760108,1.5912378433619758,1.5963214552708895,4.88289642250488,0.2047987082450476,32
sink_position_sweep,3,complete,3,5,intermediate,0.6887477907141034,0.013489735670036673,3.2,0.20661549497145631,1.5911179299565097,1.5962123092396585,4.882054469303032,0.20483472421652024,32
sink_position_sweep,4,complete,4,5,intermediate,0.6864254852369083,0.010271274622121542,3.2,0.20688775775052576,1.590317498686806,1.5955176008072702,4.876226156232949,0.20507830626015067,32
