study,x_value,topology,trap_site,n_sites,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,n_realizations
chain_crossover,0.4,chain,0,5,coherent,0.781923134850765,0.020836365575666874,0.0,1.0,1.1452385022148877e-10,1.3196356476102518,3.2901603239680184,0.31765468476534664,64
chain_crossover,0.5,chain,0,5,coherent,0.7695199110983119,0.030885936025073335,0.0,1.0,1.1452152176795683e-10,1.297815988895058,3.2448209347943004,0.3272576023841728,64
chain_crossover,0.55,chain,0,5,coherent,0.7624805489606665,0.03659754575466329,0.0,1.0000000000000004,1.1451538115427435e-10,1.3005496443649585,3.252597284308129,0.32625732949959363,64
chain_crossover,0.6,chain,0,5,coherent,0.7549549806070524,0.0427534431865363,0.0,1.0,1.1452279592466773e-10,1.306448894797382,3.2525244022109234,0.3245363250259339,64
chain_crossover,0.65,chain,0,5,coherent,0.7469812657862149,0.04931661270458344,0.0,0.9999999999999999,1.1452512374410056e-10,1.307538141046719,3.2552644450826005,0.32354448973753946,64
chain_crossover,0.7,chain,0,5,coherent,0.7385692073926938,0.05623773441539719,0.0,0.9999999999999994,1.1453081794830691e-10,1.3018338870610369,3.2367222946585765,0.32531161012865994,64
chain_crossover,0.72,chain,0,5,coherent,0.7350788598236058,0.059094718061038914,0.0,1.0,1.1452295522048064e-10,1.2968041618328217,3.2161371408308326,0.3273925271711027,64
chain_crossover,0.74,chain,0,5,intermediate,0.7316227983091615,0.055493952485993515,0.02,0.6897612227971779,0.6802364310980947,1.4207689210847465,3.679877403359491,0.2793347017085401,64
chain_crossover,0.76,chain,0,5,intermediate,0.7282956578780231,0.05528090550606423,0.03,0.5907481956100678,0.8576884132965479,1.4544719664095536,3.8522862577243533,0.2651908837251996,64
chain_crossover,0.78,chain,0,5,intermediate,0.7250476918631024,0.053859120713339585,0.045,0.4846031334549993,1.0447796474664586,1.4917310733625473,4.0712085088737435,0.24925880261312272,64
chain_crossover,0.8,chain,0,5,intermediate,0.7218492454782888,0.05386703424569427,0.055,0.4344083864271612,1.1335570791161464,1.5081585304014582,4.178476771992781,0.24221629811880385,64
