study,x_value,topology,trap_site,n_sites,best_regime,eta_best_mean,eta_best_std,gamma_phi_best,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,n_realizations
ring_size_refined,4,ring,0,4,coherent,0.8966335301247236,0.0,0.0,1.000000000000004,8.583708769818014e-11,1.0251787896497468,2.5208460804636905,0.3966922089174352,1
ring_size_refined,5,ring,0,5,intermediate,0.7090353791784745,0.0,0.8,0.21007331348499964,1.582585282072722,1.6002357635903193,4.915527704333516,0.20343695736236064,1
ring_size_refined,6,ring,0,6,coherent,0.8512588123858812,0.0,0.0,0.9999999999999996,1.431608332835915e-10,1.2914957183985618,3.0584465425240417,0.32696337375729667,1
ring_size_refined,7,ring,0,7,intermediate,0.5830855010013309,0.0,0.4,0.15281357832634518,1.9086913280397744,1.937247835481886,6.890774048488919,0.14512157748363413,1
ring_size_refined,8,ring,0,8,coherent,0.8030272956220621,0.0,0.0,1.0000000000000049,2.0034609023122099e-10,1.9774125174387398,6.639806521675231,0.1506067980649079,1
ring_size_refined,9,ring,0,9,intermediate,0.4913605719287677,0.0,0.4,0.11678746375524665,2.1694302240712617,2.1907688810297206,8.894353001360741,0.11243088731097256,1
ring_size_refined,10,ring,0,10,coherent,0.7466378544485753,0.0,0.0,0.9999999999999991,2.5768830102022233e-10,1.573795724871917,3.9724354580349996,0.2517347381887128,1
ring_size_refined,11,ring,0,11,intermediate,0.41758115005516006,0.0,0.2,0.10051936634904893,2.343842476003712,2.388878276865157,10.821148023604383,0.0924116367153171,1
ring_size_refined,12,ring,0,12,coherent,0.7139643107732213,0.0,0.0,1.0000000000000013,3.149272029665668e-10,2.1539701424074678,7.48582696139233,0.1335857755138391,1
