family,best_arrival_n,best_arrival_mean,best_arrival_std,best_arrival_sem,best_arrival_ci95_low,best_arrival_ci95_high,dephasing_gain_n,dephasing_gain_mean,dephasing_gain_std,dephasing_gain_sem,dephasing_gain_ci95_low,dephasing_gain_ci95_high,best_sink_hitting_time_filled_n,best_sink_hitting_time_filled_mean,best_sink_hitting_time_filled_std,best_sink_hitting_time_filled_sem,best_sink_hitting_time_filled_ci95_low,best_sink_hitting_time_filled_ci95_high,best_mean_coherence_l1_n,best_mean_coherence_l1_mean,best_mean_coherence_l1_std,best_mean_coherence_l1_sem,best_mean_coherence_l1_ci95_low,best_mean_coherence_l1_ci95_high,best_final_entropy_n,best_final_entropy_mean,best_final_entropy_std,best_final_entropy_sem,best_final_entropy_ci95_low,best_final_entropy_ci95_high,best_final_purity_n,best_final_purity_mean,best_final_purity_std,best_final_purity_sem,best_final_purity_ci95_low,best_final_purity_ci95_high,best_population_shannon_entropy_n,best_population_shannon_entropy_mean,best_population_shannon_entropy_std,best_population_shannon_entropy_sem,best_population_shannon_entropy_ci95_low,best_population_shannon_entropy_ci95_high,best_participation_ratio_n,best_participation_ratio_mean,best_participation_ratio_std,best_participation_ratio_sem,best_participation_ratio_ci95_low,best_participation_ratio_ci95_high,best_ipr_n,best_ipr_mean,best_ipr_std,best_ipr_sem,best_ipr_ci95_low,best_ipr_ci95_high,best_final_msd_n,best_final_msd_mean,best_final_msd_std,best_final_msd_sem,best_final_msd_ci95_low,best_final_msd_ci95_high,best_final_front_width_n,best_final_front_width_mean,best_final_front_width_std,best_final_front_width_sem,best_final_front_width_ci95_low,best_final_front_width_ci95_high,quantum_minus_classical_n,quantum_minus_classical_mean,quantum_minus_classical_std,quantum_minus_classical_sem,quantum_minus_classical_ci95_low,quantum_minus_classical_ci95_high,quantum_classical_verdict,record_count
bottleneck,640,0.5241918814571978,0.09138849219711444,0.00361244734089259,0.5171114846690483,0.5312722782453472,640,0.05238044384323286,0.06527139173085174,0.002580078298982144,0.047323490377227856,0.05743739730923786,640,2.343156424581006,0.9468631725174366,0.03742805322110059,2.2697974402676486,2.4165154088943632,640,1.911332157740825,1.4561819556306514,0.057560645842888884,1.798513291888763,2.0241510235928875,640,1.2700612549778791,1.0985287813392295,0.043423162803512994,1.1849518558829937,1.3551706540727646,640,0.496446105575073,0.43207228217673377,0.017079156568818168,0.4629709587001894,0.5299212524499566,640,2.0949443521223565,0.2863962682172451,0.011320806511737318,2.0727555713593513,2.1171331328853618,640,7.821056199775671,2.5469275747903124,0.10067615214782792,7.6237309415659285,8.018381457985415,640,0.1466418701562183,0.0654803089187439,0.0025883364759333514,0.14156873066338893,0.15171500964904766,640,8.863503891208632,3.026333037613761,0.11962631696344385,8.629036309960282,9.097971472456981,640,1.6575651208064777,0.21845116873552684,0.00863504063412537,1.640640441163592,1.6744898004493634,640,0.15017528954418063,0.22422050014401546,0.008863093481965012,0.13280362631952922,0.16754695276883205,quantum_higher,640
chain,720,0.5202537064398763,0.13036342784397717,0.0048583581073170295,0.510731324549535,0.5297760883302177,720,0.05562013721143837,0.07227808677501885,0.0026936452552095112,0.05034059251122772,0.06089968191164901,720,3.6295468653010556,2.2810163803909864,0.08500846140574606,3.4629302809457934,3.796163449656318,720,1.9902203972081531,1.5397160335610516,0.05738182861814765,1.8777520131165837,2.1026887812997224,720,1.1604863206177816,1.0829767805052481,0.0403601616543934,1.0813804037751704,1.2395922374603927,720,0.5353738874850096,0.4303290941620019,0.016037418454035734,0.5039405473150995,0.5668072276549196,720,2.028110191123224,0.29119693228471655,0.01085226892380049,2.0068397440325754,2.049380638213873,720,7.169417625919204,2.553591267512967,0.09516672768181407,6.982890839662848,7.3559444121755595,720,0.16142725936368957,0.06738215304554214,0.0025111845780021115,0.15650533759080543,0.1663491811365737,720,26.334154050440933,10.476229932147605,0.3904260379366676,25.568919016085065,27.0993890847968,720,2.6991536270852214,0.45160378658052186,0.01683027942817257,2.6661662794060033,2.7321409747644396,720,0.18122703644700702,0.25386570904095607,0.009461016376196011,0.16268344434966284,0.1997706285443512,quantum_higher,720
clustered,640,0.5240428293234632,0.09091661106951411,0.0035937946015417704,0.5169989919044413,0.5310866667424852,640,0.04671301961968578,0.061477479310166915,0.002430110742825057,0.04195000256374867,0.051476036675622894,640,2.291201117318436,0.9793521135545836,0.038712291376654315,2.2153250262201936,2.3670772084166782,640,1.955164918289944,1.463895327625089,0.05786554364217111,1.8417484527512886,2.0685813838285996,640,1.242599003349091,1.0958494295123382,0.043317252123189126,1.1576971891876404,1.3275008175105416,640,0.506382128419423,0.43207270408798637,0.017079173246324776,0.47290694885662643,0.5398573079822195,640,2.0909442795851607,0.2844456451045209,0.01124370136307762,2.0689066249135286,2.112981934256793,640,7.751019402560983,2.5066390386737507,0.09908360792629929,7.556815531025436,7.94522327409653,640,0.14780697519816213,0.0658907849757935,0.0026045619667488754,0.14270203374333434,0.15291191665298992,640,16.997764045680302,5.930007760682528,0.23440413832789345,16.538331934557633,17.457196156802972,640,2.329666906440772,0.3080786314144718,0.012177877171215405,2.3057982671851898,2.353535545696354,640,0.16278396746143273,0.21172619421398295,0.008369212675441873,0.14638031061756665,0.1791876243052988,quantum_higher,640
complete,240,0.28267839393548755,0.07785179731517113,0.005025311907899551,0.2728287825960044,0.2925280052749707,240,0.16621610428344222,0.06126154750843971,0.003954415887718024,0.1584654491435149,0.17396675942336953,240,5.429795158286779,1.5144680483679358,0.09775849216153773,5.238188513650165,5.621401802923392,240,0.7682155203715968,0.4622932244977014,0.0298408993257354,0.7097273576931554,0.8267036830500382,240,2.1774526948992823,0.4367259753403546,0.028190540489156406,2.1221992355405357,2.232706154258029,240,0.13853396653422057,0.161291644491709,0.01041133088331327,0.11812775800292656,0.15894017506551458,240,2.236506283277547,0.2155396284521687,0.013913023190716394,2.209236757823743,2.263775808731351,240,9.350157734528993,1.8828727242275412,0.12153891173269095,9.111941467532919,9.588374001525068,240,0.11464764005014265,0.045336250912415076,0.002926442412721073,0.10891181292120934,0.12038346717907596,240,2.0380292315565103,0.1906058347887904,0.012303553730449125,2.01391426624483,2.0621441968681906,240,0.9924829983972704,0.03653195639860604,0.0023581276456029446,0.9878610682118886,0.9971049285826522,240,-0.13599619765935678,0.0393039133354958,0.002537056696485914,-0.14096882878446917,-0.13102356653424438,classical_higher,240
modular_two_community,9520,0.44207029832592476,0.1168024269761433,0.0011971081641489144,0.43972396632419286,0.44441663032765666,9520,0.10284078717604109,0.08580332923561476,0.0008793983875017529,0.10111716633653765,0.10456440801554452,9520,3.643303131308389,2.1857239368464367,0.022401486314227025,3.599396218132504,3.687210044484274,9520,1.2903516376355175,1.205209266955856,0.012352190706409432,1.266141343850955,1.31456193142008,9520,1.845319290678536,0.8696470933298898,0.008913013730153218,1.8278497837674357,1.8627887975896364,9520,0.272176199457078,0.33797500637461225,0.003463906100957706,0.2653869434992009,0.2789654554149551,9520,2.195298134979208,0.24510295890484957,0.002512060414823236,2.1903744965661547,2.2002217733922613,9520,8.808163823122323,2.2964817066987213,0.023536642782852266,8.762032003267933,8.854295642976712,9520,0.12603994364450494,0.053964711214199775,0.0005530843668484028,0.12495589828548206,0.1271239890035278,9520,0.9598981464975388,0.42983826206709397,0.004405412679388909,0.9512635376459365,0.9685327553491411,9520,0.7071926669539288,0.10073859709206137,0.0010324699592795797,0.7051690258337409,0.7092163080741167,9520,0.09076874747351138,0.12568696595035908,0.0012881658109468294,0.08824394248405559,0.09329355246296717,quantum_higher,9520
ring,480,0.5339156869137157,0.11234739526908186,0.005127933555485443,0.5238649371449643,0.5439664366824671,480,0.06214280689615605,0.07015206016817793,0.003201988817464226,0.05586690881392616,0.06841870497838592,480,2.2605214152700186,1.2788909341328192,0.05837311776778322,2.1461101044451634,2.374932726094874,480,1.7906261426971224,1.4900433872991923,0.06801086457376453,1.657324848132544,1.9239274372617008,480,1.3123017276405708,1.113214401601833,0.050811053258078255,1.2127120632547375,1.4118913920264042,480,0.4818176532178326,0.43666397863744066,0.019930892595806684,0.4427531037300515,0.5208822027056137,480,2.057598123439994,0.3576608291987814,0.01632490867401458,2.0256013024389254,2.089594944441062,480,7.7285925120019705,2.893998616710455,0.13209236031342195,7.4696914857876635,7.9874935382162775,480,0.16081100981855492,0.09604033325368991,0.004383621412779958,0.1522191118495062,0.16940290778760364,480,5.374338671980036,2.036926813693682,0.09297256365392938,5.192112447218334,5.556564896741738,480,1.5655312557599919,0.2756889651014867,0.012583422086778233,1.5408677484699065,1.5901947630500772,480,0.16735133425601104,0.2054306429965127,0.009376583097665056,0.1489732313845875,0.18572943712743456,quantum_higher,480
sierpinski_carpet_like,720,0.4584965629170281,0.13771864938422118,0.0051324710298763015,0.44843691969847055,0.4685562061355857,720,0.0434795824087661,0.05689890942207781,0.0021204971552228205,0.03932340798452937,0.04763575683300283,720,3.336933581626319,2.1419431612487436,0.07982550854154973,3.1804755848848814,3.4933915783677563,720,2.0797024355717397,1.4957222371037686,0.055742276627034744,1.9704475733827516,2.188957297760728,720,1.384007120345848,1.12052365086058,0.041759450895341624,1.3021585965909783,1.4658556441007176,720,0.46055545614038446,0.4336292586324241,0.01616040832224896,0.4288810558287765,0.4922298564519924,720,2.131943474487868,0.31689125366769005,0.011809839744601407,2.108796188588449,2.1550907603872864,720,8.251964940270323,2.861914571631302,0.10665725879941303,8.042916713023473,8.461013167517173,720,0.14480796438220903,0.07977037146918492,0.002972866219925121,0.1389811465911558,0.15063478217326226,720,0.5126744748484401,0.30824539244288746,0.011487627520889937,0.4901587249074958,0.5351902247893844,720,0.45110132816635684,0.078778612286523,0.002935905537429426,0.4453469533129952,0.4568557030197185,720,0.11076949449151595,0.14510369261824563,0.005407695341343861,0.10017041162248198,0.12136857736054991,quantum_higher,720
sierpinski_gasket,720,0.4619715783681086,0.16300558102477483,0.006074859331387439,0.4500648540785892,0.473878302657628,720,0.05150534080606974,0.06262229156449575,0.002333795014083736,0.04693110257846562,0.05607957903367387,720,4.221229050279329,3.0612594275203997,0.11408640294496174,3.9976197005072045,4.444838400051454,720,1.9345892884414064,1.6327817207186814,0.060850181999100805,1.815322931723169,2.053855645159644,720,1.4374388228655663,1.0271611871927748,0.03828003730687385,1.3624099497440936,1.5124676959870391,720,0.4204827594380204,0.4104416975685491,0.015296258942728097,0.3905020919102733,0.45046342696576747,720,2.078391015283543,0.2645692841266131,0.009859915067759384,2.0590655817507346,2.0977164488163518,720,7.639013099452516,2.4126102937081098,0.08991267699911777,7.462784252534245,7.8152419463707865,720,0.1489895861805953,0.06484216650911385,0.0024165248687123136,0.14425319743791917,0.15372597492327142,720,0.505383081158803,0.15792018041458253,0.005885337640433958,0.4938478193835525,0.5169183429340536,720,0.40887859458807857,0.04197749554057914,0.0015644088925654872,0.4058123531586502,0.4119448360175069,720,0.09412045989079196,0.16244463668198356,0.006053954170019519,0.0822547097175537,0.10598621006403021,quantum_higher,720
square_lattice_2d,640,0.48104831123977015,0.059914383955698085,0.002368323973823185,0.4764063962510767,0.4856902262284636,640,0.11451155393393586,0.08540981790510241,0.0033761194890044323,0.10789435973548718,0.12112874813238454,640,2.7572625698324025,0.9666318254690187,0.03820947784110572,2.6823719932638355,2.8321531464009695,640,1.1411314524786633,1.1767379920590817,0.04651465330199787,1.0499627320067475,1.2323001729505791,640,1.8746462980276888,0.8363067601835072,0.03305792730970124,1.8098527605006745,1.9394398355547031,640,0.25510404170223894,0.3268682082764546,0.012920600410648716,0.22977966489736745,0.2804284185071104,640,2.2033271252232587,0.2185735122557592,0.008639876686386584,2.186392966917941,2.2202612835285764,640,8.981531067902969,2.1920804350079317,0.08664958736147206,8.811697876674483,9.151364259131455,640,0.12093285724052319,0.043988390784347534,0.0017387938185512352,0.11752482135616277,0.12434089312488361,640,3.731325320078638,1.3506750400439358,0.053390118815974615,3.6266806871993276,3.835969952957948,640,1.239904981152431,0.13838288499462145,0.005470063822101768,1.2291836560611116,1.2506263062437504,640,0.09059578171123933,0.1787146660050907,0.007064317448154395,0.07674971951285672,0.10444184390962194,quantum_higher,640
star,480,0.35514958129265345,0.11385552408069481,0.005196769902964099,0.34496391228284384,0.36533525030246305,480,0.23448358507120495,0.10083916156432735,0.004602656955724168,0.22546237743798558,0.24350479270442432,480,4.513594040968343,2.141827475920645,0.09776060190384085,4.321983261236815,4.705204820699871,480,0.7136247337719079,0.495296936507432,0.022607108732360378,0.6693148006564816,0.7579346668873342,480,2.19264102378074,0.41395274407908783,0.018894271306106623,2.1556082520207713,2.229673795540709,480,0.13418457152051746,0.15128070741182423,0.006904987997066259,0.12065079504626759,0.14771834799476732,480,2.2430105989488,0.22333698190747453,0.010193891909653913,2.223030570805878,2.2629906270917215,480,9.438104116025219,1.8723604162779046,0.08546116964793095,9.270600223515274,9.605608008535164,480,0.114218197275134,0.05409925934466858,0.0024692820572830942,0.10937840444285914,0.11905799010740888,480,2.0181435377079597,0.2047277640572442,0.009344501210145668,1.9998283153360743,2.0364587600798454,480,0.9410959750825321,0.04358426009451485,0.0019893402004948356,0.9371968682895622,0.944995081875502,480,-0.22617625795434562,0.24603286977224928,0.011229812721832655,-0.24818669088913764,-0.2041658250195536,classical_higher,480
