family,target_style,best_arrival_n,best_arrival_mean,best_arrival_std,best_arrival_sem,best_arrival_ci95_low,best_arrival_ci95_high,dephasing_gain_n,dephasing_gain_mean,dephasing_gain_std,dephasing_gain_sem,dephasing_gain_ci95_low,dephasing_gain_ci95_high,best_sink_hitting_time_filled_n,best_sink_hitting_time_filled_mean,best_sink_hitting_time_filled_std,best_sink_hitting_time_filled_sem,best_sink_hitting_time_filled_ci95_low,best_sink_hitting_time_filled_ci95_high,topology_target_degree_n,topology_target_degree_mean,topology_target_degree_std,topology_target_degree_sem,topology_target_degree_ci95_low,topology_target_degree_ci95_high,topology_initial_target_distance_n,topology_initial_target_distance_mean,topology_initial_target_distance_std,topology_initial_target_distance_sem,topology_initial_target_distance_ci95_low,topology_initial_target_distance_ci95_high,topology_target_closeness_n,topology_target_closeness_mean,topology_target_closeness_std,topology_target_closeness_sem,topology_target_closeness_ci95_low,topology_target_closeness_ci95_high,quantum_minus_classical_n,quantum_minus_classical_mean,quantum_minus_classical_std,quantum_minus_classical_sem,quantum_minus_classical_ci95_low,quantum_minus_classical_ci95_high
bottleneck,far,240,0.5268875742620411,0.11423348060838322,0.007373739466259601,0.5124350449081723,0.54134010361591,240,0.011790074628968994,0.02238479185192466,0.0014449321008470615,0.008958007711308754,0.014622141546629235,240,3.043202979515829,0.768455325254688,0.0496035779502635,2.9459799667333124,3.1404259922983453,240,2.0,0.0,0.0,2.0,2.0,240,5.333333333333333,1.2498256503234424,0.0806758988227591,5.1752085716407255,5.491458095025941,240,0.3007424475166411,0.03678841879780428,0.002374682222286664,0.29608807036095924,0.30539682467232293,240,0.3671669428178647,0.12112530147148538,0.007818604590056927,0.35184247782135314,0.3824914078143763
bottleneck,high_centrality,160,0.5106678007837905,0.10713299012999997,0.008469606533878458,0.4940673719773887,0.5272682295901923,160,0.015599237576897036,0.031449328123155824,0.00248628769377902,0.010726113697090155,0.020472361456703916,160,2.639106145251397,0.7491247534602814,0.059223511813664816,2.523028062096614,2.75518422840618,160,3.0,0.0,0.0,3.0,3.0,160,3.5,0.5015698625755192,0.03965257928590721,3.422280944599622,3.577719055400378,160,0.5208333333333333,0.06269623282193992,0.004956572410738403,0.511118451408286,0.5305482152583805,160,0.20833357522737134,0.05657497763761877,0.004472644697699186,0.19956719161988093,0.21709995883486174
bottleneck,near,240,0.5305122424346259,0.03840666044494839,0.002479139271445471,0.5256531294625928,0.535371355406659,240,0.11749161723505396,0.0584314025400198,0.0037717308155506405,0.1100990248365747,0.12488420963353321,240,1.445810055865922,0.271726159733577,0.017539848189617336,1.4114319534142719,1.480188158317572,240,2.6666666666666665,0.4723896932779147,0.03049262358308989,2.6069011244438105,2.7264322088895225,240,1.0,0.0,0.0,1.0,1.0,240,0.4301470588235293,0.08438776853647413,0.005447207036089509,0.4194705330327939,0.44082358461426474,240,-0.10558855418496385,0.048790623660397124,0.003149421214796527,-0.11176141976596504,-0.09941568860396266
chain,far,240,0.4745875078351523,0.14943252118447928,0.00964582776548792,0.455681685414796,0.4934933302555086,240,0.0044865123570401195,0.014260108446397874,0.0009204860421335114,0.0026823597144584373,0.006290664999621802,240,5.9042830540037246,1.6712522200980946,0.10787886692920154,5.692840474822489,6.11572563318496,240,1.0,0.0,0.0,1.0,1.0,240,9.0,1.6364058994584525,0.10562954660396925,8.79296608865622,9.20703391134378,240,0.2055555555555556,0.03431831558281008,0.002215237745368565,0.2012136895746332,0.209897421536478,240,0.4438069750379746,0.1407791762704351,0.009087256753136558,0.425995951801827,0.46161799827412225
chain,high_centrality,240,0.44518715414533605,0.0777413266718455,0.005018181058535467,0.43535151927060656,0.45502278902006554,240,0.02169768775065047,0.03841733307308097,0.0024798281866291,0.01683722450485743,0.026558150996443507,240,3.907635009310987,1.0202451168675999,0.06585653911129423,3.77855619265285,4.036713825969124,240,2.0,0.0,0.0,2.0,2.0,240,5.0,0.8182029497292262,0.05281477330198463,4.89648304432811,5.10351695567189,240,0.36768518518518517,0.05425265955148356,0.003501994115505943,0.36082127671879355,0.3745490936515768,240,0.23132861229420704,0.06138945244399064,0.0039626721158061325,0.223561774947227,0.23909544964118706
chain,near,240,0.6409864573391408,0.0190319210366568,0.0012285052203551063,0.6385785871072448,0.6433943275710369,240,0.14067621152662452,0.054689113284811436,0.003530167082848758,0.13375708404424094,0.1475953390090081,240,1.0767225325884544,0.027423257654384376,0.0017701636699030958,1.0732530117954444,1.0801920533814644,240,2.0,0.0,0.0,2.0,2.0,240,1.0,0.0,0.0,1.0,1.0,240,0.2526178776178777,0.05025042626257093,0.0032436510675793503,0.24626032152542215,0.2589754337103332,240,-0.1314544779911607,0.018949313408909298,0.0012231729209128434,-0.13385189691614988,-0.12905705906617151
clustered,far,240,0.5287549872995096,0.11228686596125206,0.007248086031095895,0.5145487386785617,0.5429612359204576,240,0.01155512894616125,0.022386636461038213,0.0014450511698533457,0.008722828653248691,0.014387429239073808,240,3.0364990689013043,0.7258209771030089,0.046851542610799136,2.944670045384138,3.1283280924184704,240,2.0,0.0,0.0,2.0,2.0,240,5.333333333333333,1.2498256503234424,0.0806758988227591,5.1752085716407255,5.491458095025941,240,0.3007424475166411,0.03678841879780428,0.002374682222286664,0.29608807036095924,0.30539682467232293,240,0.36903435585533323,0.12097851840136883,0.0078091297836224835,0.35372846147943315,0.3843402502312333
clustered,high_centrality,160,0.5113808039537837,0.10664945213913929,0.008431379499219923,0.49485530013531265,0.5279063077722548,160,0.014931580394013672,0.031046557678643616,0.002454445894307594,0.010120866441170787,0.019742294346856558,160,2.645251396648045,0.7876019643516751,0.06226540242435086,2.5232112078963174,2.767291585399773,160,3.0,0.0,0.0,3.0,3.0,160,3.5,0.5015698625755192,0.03965257928590721,3.422280944599622,3.577719055400378,160,0.5208333333333333,0.06269623282193992,0.004956572410738403,0.511118451408286,0.5305482152583805,160,0.2090465783973642,0.05686297677890447,0.004495413028965073,0.20023556886059266,0.21785758793413576
clustered,near,240,0.5277720215938702,0.04220245788735357,0.002724156942779004,0.5224326739860233,0.533111369201717,240,0.10305853644365841,0.06210491318059826,0.004008854907768576,0.095201180824432,0.11091589206288481,240,1.3098696461824952,0.12697691056493035,0.008196324332847397,1.2938048504901143,1.3259344418748762,240,2.3333333333333335,0.4723896932779146,0.030492623583089882,2.2735677911104775,2.3930988755561895,240,1.0,0.0,0.0,1.0,1.0,240,0.4241557734204792,0.09206674632082983,0.005942882920667948,0.41250772289597004,0.4358038239449884,240,-0.07430816155642207,0.04969026864448952,0.0032074930488113418,-0.0805948479320923,-0.06802147518075184
complete,near,240,0.28267839393548755,0.07785179731517113,0.005025311907899551,0.2728287825960044,0.2925280052749707,240,0.16621610428344222,0.06126154750843971,0.003954415887718024,0.1584654491435149,0.17396675942336953,240,5.429795158286779,1.5144680483679358,0.09775849216153773,5.238188513650165,5.621401802923392,240,9.0,1.6364058994584525,0.10562954660396925,8.79296608865622,9.20703391134378,240,1.0,0.0,0.0,1.0,1.0,240,1.0,0.0,0.0,1.0,1.0,240,-0.13599619765935678,0.0393039133354958,0.002537056696485914,-0.14096882878446917,-0.13102356653424438
