case,group,topology,best_regime,eta_best_mean,eta_best_std,gamma_best,coherence_best_mean,loss_best_mean,final_purity_mean,final_entropy_mean,final_population_entropy_mean,final_participation_ratio_mean,final_ipr_mean,trace_dev_max,closure_err_max,min_eig
Clean chain,clean,chain,coherent,0.8120840583381573,0.0,0.0,0.7336321961791041,0.12556944444020574,1.00000000000003,1.1410538586471813e-10,0.955140236456824,1.993384848808881,0.5016592759785126,6.217248937900877e-15,6.217248937900877e-15,-1.510881167414257e-15
Clean ring,clean,ring,intermediate,0.7315397472108423,0.0,0.8,0.28683396498456687,0.164859405305776,0.21007281013204535,1.5825866638005046,1.6002366453240555,4.915535164130236,0.20343664862723893,1.5543122344752192e-15,1.5543122344752192e-15,0.0
Clean complete,clean,complete,intermediate,0.713666114022024,0.0,3.2,0.14376470028855795,0.16950838203398072,0.20656026224187,1.5912884851924958,1.596387484341367,4.88340260207107,0.20477525231605853,8.215650382226158e-15,8.215650382226158e-15,0.0
Disordered chain,disordered,chain,intermediate,0.7462245344561318,0.03446227600011695,0.1,0.7004005210168932,0.1534955543692699,0.30593449002200884,1.371609012047945,1.5579911861733895,4.546441919246967,0.22040383770294833,9.2148511043888e-15,9.2148511043888e-15,0.0
Disordered ring,disordered,ring,intermediate,0.7321998697379447,0.016230807576789134,0.8,0.2852056673717645,0.16421116645995468,0.2105756093274592,1.581233092109903,1.5989658662201147,4.903042451599254,0.2039568283478143,9.992007221626409e-15,9.992007221626409e-15,0.0
Disordered complete,disordered,complete,intermediate,0.7163506341445244,0.009900057036899437,3.2,0.14266924444696133,0.16851512371666066,0.20641827751775496,1.591713222430145,1.5967395971411802,4.886320475393887,0.20465461241210703,9.769962616701378e-15,9.769962616701378e-15,0.0
