family,n_sites,target_label,arrival_quantum,arrival_classical,arrival_delta_quantum_minus_classical,quantum_hitting_time,classical_hitting_time,comparison_label
chain,8,site_0,0.5711732849820322,0.010378794353607914,0.5607944906284243,4.19047619047619,8.0,quantum_advantage_like
chain,8,site_1,0.3889425925727548,0.02881054211502345,0.3601320504577314,4.063492063492063,8.0,quantum_advantage_like
chain,8,site_2,0.358722530949307,0.06271980724236985,0.29600272370693714,3.4285714285714284,8.0,quantum_advantage_like
chain,8,site_3,0.3708566994879186,0.13372930806498184,0.23712739142293676,2.7936507936507935,6.857142857142857,quantum_advantage_like
chain,8,site_4,0.3912728567625373,0.2642076373293057,0.12706521943323162,2.2857142857142856,4.19047619047619,quantum_advantage_like
chain,8,site_5,0.43256014529381376,0.47145877286717836,-0.0388986275733646,2.0317460317460316,2.1587301587301586,classical_explains
chain,8,site_6,0.5436864537177754,0.6913359299265285,-0.14764947620875313,1.1428571428571428,0.7619047619047619,inconclusive
chain,8,site_0,0.5711732849820322,0.010378794353607914,0.5607944906284243,4.19047619047619,8.0,quantum_advantage_like
chain,8,site_1,0.3889425925727548,0.02881054211502345,0.3601320504577314,4.063492063492063,8.0,quantum_advantage_like
chain,8,site_2,0.358722530949307,0.06271980724236985,0.29600272370693714,3.4285714285714284,8.0,quantum_advantage_like
chain,8,site_3,0.3708566994879186,0.13372930806498184,0.23712739142293676,2.7936507936507935,6.857142857142857,quantum_advantage_like
chain,8,site_4,0.3912728567625373,0.2642076373293057,0.12706521943323162,2.2857142857142856,4.19047619047619,quantum_advantage_like
chain,8,site_5,0.43256014529381376,0.47145877286717836,-0.0388986275733646,2.0317460317460316,2.1587301587301586,classical_explains
chain,8,site_6,0.5436864537177754,0.6913359299265285,-0.14764947620875313,1.1428571428571428,0.7619047619047619,inconclusive
chain,8,site_0,0.46829800110786685,0.010378794353607914,0.45791920675425896,4.317460317460317,8.0,quantum_advantage_like
chain,8,site_1,0.3251490902179846,0.02881054211502345,0.2963385481029612,4.19047619047619,8.0,quantum_advantage_like
chain,8,site_2,0.30140322829660265,0.06271980724236985,0.2386834210542328,3.5555555555555554,8.0,quantum_advantage_like
chain,8,site_3,0.3554633480058591,0.13372930806498184,0.22173403994087726,2.9206349206349205,6.857142857142857,quantum_advantage_like
chain,8,site_4,0.3772882963536329,0.2642076373293057,0.11308065902432723,2.2857142857142856,4.19047619047619,quantum_advantage_like
chain,8,site_5,0.4291470602923303,0.47145877286717836,-0.04231171257484806,2.1587301587301586,2.1587301587301586,classical_explains
chain,8,site_6,0.5580457572902654,0.6913359299265285,-0.13329017263626308,1.1428571428571428,0.7619047619047619,inconclusive
chain,8,site_0,0.5433949138323162,0.010378794353607914,0.5330161194787083,4.317460317460317,8.0,quantum_advantage_like
chain,8,site_1,0.34828529599490654,0.02881054211502345,0.3194747538798831,4.19047619047619,8.0,quantum_advantage_like
chain,8,site_2,0.3148267713897187,0.06271980724236985,0.25210696414734884,3.4285714285714284,8.0,quantum_advantage_like
chain,8,site_3,0.35527165344632833,0.13372930806498184,0.22154234538134648,2.9206349206349205,6.857142857142857,quantum_advantage_like
chain,8,site_4,0.37564634943619035,0.2642076373293057,0.11143871210688466,2.2857142857142856,4.19047619047619,quantum_advantage_like
chain,8,site_5,0.43081992026852833,0.47145877286717836,-0.04063885259865002,2.1587301587301586,2.1587301587301586,classical_explains
chain,8,site_6,0.5468869382574445,0.6913359299265285,-0.14444899166908398,1.1428571428571428,0.7619047619047619,inconclusive
chain,10,site_0,0.5156434152836606,0.0012793344704750361,0.5143640808131856,5.333333333333333,8.0,quantum_advantage_like
chain,10,site_1,0.3270239663039587,0.004057963184995059,0.3229660031189636,5.333333333333333,8.0,quantum_advantage_like
chain,10,site_2,0.26050306044654026,0.010464170512210349,0.25003888993432993,4.571428571428571,8.0,quantum_advantage_like
chain,10,site_3,0.3027006751895762,0.02639819986878644,0.2763024753207898,3.9365079365079363,8.0,quantum_advantage_like
chain,10,site_4,0.28994932208891655,0.061850645625880996,0.22809867646303555,3.4285714285714284,8.0,quantum_advantage_like
chain,10,site_5,0.2617696405049651,0.13344737022092445,0.12832227028404064,3.6825396825396823,6.857142857142857,quantum_advantage_like
chain,10,site_6,0.3385594948826278,0.26412253852085554,0.07443695636177228,2.7936507936507935,4.19047619047619,quantum_advantage_like
chain,10,site_7,0.4322751514275042,0.47143470280370836,-0.03915955137620414,2.0317460317460316,2.1587301587301586,classical_explains
chain,10,site_8,0.543602213079271,0.6913293684379042,-0.14772715535863312,1.1428571428571428,0.7619047619047619,inconclusive
chain,10,site_0,0.5156434152836606,0.0012793344704750361,0.5143640808131856,5.333333333333333,8.0,quantum_advantage_like
chain,10,site_1,0.3270239663039587,0.004057963184995059,0.3229660031189636,5.333333333333333,8.0,quantum_advantage_like
chain,10,site_2,0.26050306044654026,0.010464170512210349,0.25003888993432993,4.571428571428571,8.0,quantum_advantage_like
chain,10,site_3,0.3027006751895762,0.02639819986878644,0.2763024753207898,3.9365079365079363,8.0,quantum_advantage_like
chain,10,site_4,0.28994932208891655,0.061850645625880996,0.22809867646303555,3.4285714285714284,8.0,quantum_advantage_like
chain,10,site_5,0.2617696405049651,0.13344737022092445,0.12832227028404064,3.6825396825396823,6.857142857142857,quantum_advantage_like
chain,10,site_6,0.3385594948826278,0.26412253852085554,0.07443695636177228,2.7936507936507935,4.19047619047619,quantum_advantage_like
chain,10,site_7,0.4322751514275042,0.47143470280370836,-0.03915955137620414,2.0317460317460316,2.1587301587301586,classical_explains
chain,10,site_8,0.543602213079271,0.6913293684379042,-0.14772715535863312,1.1428571428571428,0.7619047619047619,inconclusive
chain,10,site_0,0.3345252262336756,0.0012793344704750361,0.3332458917632006,5.4603174603174605,8.0,quantum_advantage_like
chain,10,site_1,0.23406100609877006,0.004057963184995059,0.230003042913775,5.587301587301587,8.0,quantum_advantage_like
chain,10,site_2,0.2558342153231232,0.010464170512210349,0.24537004481091287,4.825396825396825,8.0,quantum_advantage_like
chain,10,site_3,0.2708171274892527,0.02639819986878644,0.24441892762046624,4.19047619047619,8.0,quantum_advantage_like
chain,10,site_4,0.25570128901746386,0.061850645625880996,0.19385064339158287,3.5555555555555554,8.0,quantum_advantage_like
chain,10,site_5,0.2621079244489581,0.13344737022092445,0.12866055422803363,2.9206349206349205,6.857142857142857,quantum_advantage_like
chain,10,site_6,0.33608939844339664,0.26412253852085554,0.0719668599225411,2.7936507936507935,4.19047619047619,quantum_advantage_like
chain,10,site_7,0.4340411531536424,0.47143470280370836,-0.03739354965006597,2.1587301587301586,2.1587301587301586,classical_explains
chain,10,site_8,0.5537553933747905,0.6913293684379042,-0.13757397506311364,1.1428571428571428,0.7619047619047619,inconclusive
chain,10,site_0,0.35601065358341855,0.0012793344704750361,0.35473131911294353,5.4603174603174605,8.0,quantum_advantage_like
chain,10,site_1,0.1681923837621219,0.004057963184995059,0.16413442057712685,6.857142857142857,8.0,quantum_advantage_like
chain,10,site_2,0.23500135607101016,0.010464170512210349,0.2245371855587998,4.9523809523809526,8.0,quantum_advantage_like
chain,10,site_3,0.32635817973407977,0.02639819986878644,0.2999599798652933,4.19047619047619,8.0,quantum_advantage_like
chain,10,site_4,0.21742136874911555,0.061850645625880996,0.15557072312323456,3.6825396825396823,8.0,quantum_advantage_like
chain,10,site_5,0.30681661254155596,0.13344737022092445,0.1733692423206315,2.9206349206349205,6.857142857142857,quantum_advantage_like
chain,10,site_6,0.3246003373602228,0.26412253852085554,0.06047779883936727,2.9206349206349205,4.19047619047619,quantum_advantage_like
