family,n_sites,target_style,disorder_strength_over_coupling,dephasing_over_coupling,arrival_quantum,arrival_classical,arrival_delta_quantum_minus_classical,quantum_hitting_time,classical_hitting_time,quantum_loss,classical_loss,comparison_label
ring,8,near,0.0,0.6,0.33494133248999886,0.38366827992544056,-0.0487269474354417,1.1454545454545453,1.2727272727272725,0.10385682700674533,0.0998182507840856,classical_explains
ring,8,near,0.6,0.6,0.35399954701982367,0.38366827992544056,-0.02966873290561689,1.1454545454545453,1.2727272727272725,0.10220771838294113,0.0998182507840856,classical_explains
ring,8,far,0.0,0.0,0.6408368311141128,0.10630860454635489,0.5345282265677579,2.2909090909090906,6.872727272727272,0.09459519516320407,0.12609147940942292,quantum_advantage_like
ring,8,far,0.6,0.0,0.5276949773195573,0.10630860454635489,0.4213863727732024,2.2909090909090906,6.872727272727272,0.09919752760844616,0.12609147940942292,quantum_advantage_like
chain,8,near,0.0,0.6,0.4444089893878888,0.6673554061170127,-0.2229464167291239,1.018181818181818,0.7636363636363636,0.09055615319411714,0.0733850937333307,inconclusive
chain,8,near,0.6,0.6,0.45233746509437656,0.6673554061170127,-0.21501794102263616,1.018181818181818,0.7636363636363636,0.09069948814065652,0.0733850937333307,inconclusive
chain,8,far,0.0,0.0,0.5417293872412892,0.006404204905460468,0.5353251823358287,4.199999999999999,7.0,0.10748273054902574,0.13047251218057293,quantum_advantage_like
chain,8,far,0.6,0.0,0.4499220140445268,0.006404204905460468,0.44351780913906635,4.327272727272727,7.0,0.11225733394455563,0.13047251218057293,quantum_advantage_like
square_lattice_2d,8,near,0.0,0.6,0.29240206210368114,0.4499978332909759,-0.1575957711872948,2.545454545454545,1.2727272727272725,0.11071577415788048,0.09661637991320099,inconclusive
square_lattice_2d,8,near,0.6,0.6,0.30215502885417866,0.4499978332909759,-0.14784280443679726,2.418181818181818,1.2727272727272725,0.10989116153730404,0.09661637991320099,inconclusive
square_lattice_2d,8,far,0.0,0.6,0.32654395035334455,0.14946007245732867,0.17708387789601587,1.909090909090909,5.345454545454545,0.10713751558853761,0.12291212791212,quantum_advantage_like
square_lattice_2d,8,far,0.6,0.0,0.3829259888894393,0.14946007245732867,0.23346591643211062,1.6545454545454543,5.345454545454545,0.10095919095102245,0.12291212791212,quantum_advantage_like
modular_two_community,8,near,0.0,0.0,0.40710518328909545,0.28082739554074326,0.1262777877483522,2.6727272727272724,1.909090909090909,0.10098715926442303,0.10935263596876921,quantum_advantage_like
modular_two_community,8,near,0.6,0.0,0.42350945247366023,0.28082739554074326,0.14268205693291697,2.8,1.909090909090909,0.1015527585122185,0.10935263596876921,quantum_advantage_like
modular_two_community,8,far,0.0,0.0,0.4444504550992613,0.10044614138962171,0.3440043137096396,2.036363636363636,7.0,0.10112252648135867,0.12547302923835815,quantum_advantage_like
modular_two_community,8,far,0.6,0.0,0.3197936882982008,0.10044614138962171,0.2193475469085791,2.2909090909090906,7.0,0.1107058887662044,0.12547302923835815,quantum_advantage_like
random_geometric,8,near,0.0,0.6,0.29388570296842065,0.355452359083176,-0.06156665611475537,2.036363636363636,1.909090909090909,0.1092585184770817,0.10537795271214911,inconclusive
random_geometric,8,near,0.6,0.0,0.38037204673856273,0.355452359083176,0.024919687655386713,1.909090909090909,1.909090909090909,0.10263727111917331,0.10537795271214911,classical_explains
random_geometric,8,far,0.0,0.6,0.12003198159147996,0.039403739165052125,0.08062824242642783,6.1090909090909085,7.0,0.12405826953050673,0.1287734617185094,quantum_advantage_like
random_geometric,8,far,0.6,0.6,0.1510755631122107,0.039403739165052125,0.11167182394715858,5.09090909090909,7.0,0.12234458694358291,0.1287734617185094,quantum_advantage_like
