family,n_sites,instance_id,graph_seed,realization,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,dephasing_over_coupling,arrival,sink_hitting_time_filled,loss_population,network_population,mean_coherence_l1,final_entropy,participation_ratio,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
ring,8,ring_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,near,7,0,0.6,0.33494133248999886,1.1454545454545453,0.10385682700674533,0.5612018405032559,1.1102175599193782,2.0449723205481423,7.785133764042418,4.440892098500626e-16,4.440892098500626e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.21926820353907334,0.11567312895092552
ring,8,ring_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,near,7,0,0.6,0.35399954701982367,1.1454545454545453,0.10220771838294113,0.5437927345972349,1.1446351453478574,2.0507844924633885,7.843556089660112,4.440892098500626e-16,4.440892098500626e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.30872863863403555,0.04527090838578812
ring,8,ring_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,far,7,3,0.0,0.6408368311141128,2.2909090909090906,0.09459519516320407,0.2645679737226842,2.831838735764738,2.0047425957270702e-10,2.6861572352520913,1.5543122344752192e-15,1.5543122344752192e-15,-2.2439977397024183e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.6408368311141128,0.0
ring,8,ring_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,far,7,3,0.0,0.5276949773195573,2.2909090909090906,0.09919752760844616,0.37310749507199703,3.4036549396589364,2.004192284204592e-10,4.11126283346404,4.440892098500626e-16,4.440892098500626e-16,-5.377823192508341e-16,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,4.0,0.25,2.0,0.0,3.0,0.9999999999999997,0.17676370148946413,0.5276949773195573,0.0
chain,8,chain_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,near,7,6,0.6,0.4444089893878888,1.018181818181818,0.09055615319411714,0.4650348574179948,0.7687957102631827,1.9809657236365976,7.096522260744561,8.881784197001252e-16,8.881784197001252e-16,0.0,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,1.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.1666666666666667,0.29054267343736107,0.15386631595052774
chain,8,chain_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,near,7,6,0.6,0.45233746509437656,1.018181818181818,0.09069948814065652,0.4569630467649658,0.837768949407219,2.0079282899917956,7.31293051121521,1.1102230246251565e-15,1.2212453270876722e-15,0.0,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,2.0,0.2857142857142857,0.3181818181818182,1.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,0.8620856092381814,0.1666666666666667,0.32314403228090727,0.1291934328134693
chain,8,chain_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,far,7,0,0.0,0.5417293872412892,4.199999999999999,0.10748273054902574,0.35078788220968654,2.4549993466724374,2.004818818085625e-10,3.7238140372837916,1.5543122344752192e-15,1.5543122344752192e-15,-3.6913557030030606e-16,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,1.0,0.0,0.25,7.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,1.0000000000000002,0.1666666666666668,0.5417293872412892,0.0
chain,8,chain_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,far,7,0,0.0,0.4499220140445268,4.327272727272727,0.11225733394455563,0.437820652010918,3.3669194222284005,2.0041668878819253e-10,6.16071999936651,1.1102230246251565e-15,1.1102230246251565e-15,-5.285535973786024e-16,8.0,7.0,0.25,1.75,0.4330127018922193,1.0,1.0,0.0,0.25,7.0,0.35714285714285715,1.879385241571817,2.220446049250313e-16,0.0,1.0000000000000002,0.1666666666666668,0.4499220140445268,0.0
square_lattice_2d,8,square_lattice_2d_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,near,7,4,0.6,0.29240206210368114,2.545454545454545,0.11071577415788048,0.5968821637384383,1.1844833807844424,2.041420591845853,7.838800127302158,1.3322676295501878e-15,1.3322676295501878e-15,0.0,8.0,10.0,0.35714285714285715,2.5,0.7071067811865476,2.0,4.0,0.47460317460317447,0.7,1.0,0.19500000000000003,2.6762431989952598,8.881784197001252e-16,1.0,0.6506574053543528,0.25267262450192635,0.18315228774779566,0.10924977435588548
square_lattice_2d,8,square_lattice_2d_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,near,7,4,0.6,0.30215502885417866,2.418181818181818,0.10989116153730404,0.5879538096085168,1.2468801769352849,2.0484723176554667,7.886689768796962,5.551115123125783e-16,5.551115123125783e-16,0.0,8.0,10.0,0.35714285714285715,2.5,0.7071067811865476,2.0,4.0,0.47460317460317447,0.7,1.0,0.19500000000000003,2.6762431989952598,8.881784197001252e-16,1.0,0.6506574053543528,0.25267262450192635,0.22530866202933636,0.0768463668248423
square_lattice_2d,8,square_lattice_2d_N8_r0_s8108_edge-unweighted,8108,0,3,0.0,far,7,0,0.6,0.32654395035334455,1.909090909090909,0.10713751558853761,0.5663185340581189,1.1380139540387606,2.045404341228477,7.830042795487297,1.1102230246251565e-15,1.1102230246251565e-15,0.0,8.0,10.0,0.35714285714285715,2.5,0.7071067811865476,2.0,2.0,0.06507936507936508,0.5,3.0,0.19500000000000003,2.6762431989952598,8.881784197001252e-16,1.0,0.6954938753926876,0.3500000000000001,0.31816469900040123,0.008379251352943318
square_lattice_2d,8,square_lattice_2d_N8_r0_s8108_edge-unweighted,8108,0,3,0.6,far,7,0,0.0,0.3829259888894393,1.6545454545454543,0.10095919095102245,0.5161148201595376,3.2948666568163025,2.0040859755987518e-10,4.741200602764312,1.1102230246251565e-15,1.1102230246251565e-15,-5.127982743172413e-16,8.0,10.0,0.35714285714285715,2.5,0.7071067811865476,2.0,2.0,0.06507936507936508,0.5,3.0,0.19500000000000003,2.6762431989952598,8.881784197001252e-16,1.0,0.6954938753926876,0.3500000000000001,0.3829259888894393,0.0
