family,target_style,n,arrival_mean,arrival_ci95_low,arrival_ci95_high,dephasing_gain_mean,target_degree_mean,initial_target_distance_mean,target_closeness_mean
chain,far,2,0.495825700642908,0.40585447491008086,0.5857969263757351,0.0,1.0,7.0,0.25
chain,near,2,0.4483732272411327,0.4406033210487747,0.4561431334334907,0.14152987438199852,2.0,1.0,0.3181818181818182
modular_two_community,far,2,0.382122071698731,0.25995844023369175,0.5042857031637703,0.0,2.0,3.0,0.35
modular_two_community,near,2,0.41530731788137787,0.39923113408050437,0.43138350168225137,0.0,3.0,1.0,0.5833333333333334
random_geometric,far,2,0.13555377235184535,0.10513106246152921,0.1659764822421615,0.04849094198639792,1.0,3.0,0.3684210526315789
random_geometric,near,2,0.3371288748534917,0.25237225795875246,0.4218854917482309,0.014934462742322963,4.0,1.0,0.6363636363636364
ring,far,2,0.584265904216835,0.4733868874981706,0.6951449209354994,0.0,2.0,4.0,0.4375
ring,near,2,0.34447043975491126,0.32579338951568293,0.3631474899941396,0.08047201866835682,2.0,1.0,0.4375
square_lattice_2d,far,2,0.35473496962139195,0.2994805718560191,0.4099893673867648,0.004189625676471659,2.0,3.0,0.5
square_lattice_2d,near,2,0.2972785454789299,0.28772063806344234,0.30683645289441747,0.0930480705903639,4.0,1.0,0.7
