scenario,best_efficiency,best_disorder_over_coupling,best_dephasing_over_coupling,best_regime,best_spreading,best_mixing
R2 target chain trap 0,0.6422651201892008,0.0,0.0,coherent-dominated,39.94760628488152,2.5777546571613345e-10
R2 target chain trap 4,0.5019272589932662,0.0,0.05,coherent-dominated,37.37102847530826,1.6371138193330572
R2 target chain trap 7,0.5738222886409906,0.8,0.8,dephasing-assisted,33.83419521473783,2.265325140921486
R2 target ring trap 0,0.8030272956220651,0.0,0.0,coherent-dominated,3.904050141634253,2.0052578633349264e-10
R2 target ring trap 1,0.522140070259857,0.0,0.4,dephasing-assisted,3.3085331704536483,2.046234920666567
R2 target ring trap 2,0.5547086670689397,0.8,0.4,dephasing-assisted,3.399609584830652,2.0489078096671234
R2 target ring trap 3,0.5848707570036802,0.8,0.8,dephasing-assisted,3.596309376667318,2.058325099292486
R2 target 2D square trap 0,0.6676389730682505,0.0,0.0,coherent-dominated,5.716898238629729,4.293831338349035e-10
R2 target 2D square trap 3,0.2934340438027036,0.0,0.0,coherent-dominated,5.617743923972646,4.29354180288825e-10
R2 target 2D square trap 5,0.436142739370244,0.0,0.0,coherent-dominated,9.469280183364848,4.294743679606452e-10
R2 target 2D square trap 10,0.409628623290313,0.8,0.0,coherent-dominated,6.66917205515292,4.294757303093165e-10
