family,n_sites,n_edges,arrival,final_msd,final_front_width,participation_ratio,ipr,msd_exponent,max_trace_deviation,max_population_closure_error,min_state_eigenvalue
sierpinski_gasket,8,7,0.29655503004997485,0.3214986686441739,0.40154330777069697,3.9722812089249797,0.2517445133927541,0.4516423732861759,1.887379141862766e-15,1.887379141862766e-15,-5.631428703464447e-16
sierpinski_gasket,13,12,0.09076474912400766,0.0737582108192632,0.2593079119125711,1.57624924950727,0.6344174313247708,0.7044481185983007,2.6645352591003757e-15,2.6645352591003757e-15,-1.4241406484857044e-15
sierpinski_gasket,20,19,0.012461982672743626,0.3022873563904228,0.31121882543530505,5.159861477045259,0.193803652374916,0.9971934394193165,2.6645352591003757e-15,2.6645352591003757e-15,-5.22658602310686e-16
sierpinski_carpet_like,8,8,0.711029238319275,0.6405124157594411,0.5442150884696547,3.1329018862006537,0.319192887720057,0.29359152874794636,7.771561172376096e-16,7.771561172376096e-16,-6.890060173430551e-16
sierpinski_carpet_like,13,15,0.08694475093992672,0.4418773170804214,0.3722980822675889,6.598536957119957,0.15154874580508024,0.582766208462552,1.3322676295501878e-15,1.5543122344752192e-15,-9.479826168169287e-16
sierpinski_carpet_like,20,24,0.13163877289371598,0.1698790135556325,0.38355473172510485,3.44024915599799,0.29067662098151364,0.8561612358180846,2.6645352591003757e-15,2.6645352591003757e-15,-4.0360092496159857e-16
square_lattice_2d,8,10,0.36642811130146796,3.247686405727576,1.1227538426469024,4.271660917239627,0.23410097837217989,0.2627888584877696,1.887379141862766e-15,1.9984014443252818e-15,-4.149282241695971e-16
square_lattice_2d,13,18,0.5372073545452491,6.536826324007002,1.1864102726550136,4.272784073255473,0.23403944193184814,0.7237284562817157,8.881784197001252e-16,8.881784197001252e-16,-5.621450893931009e-16
square_lattice_2d,20,31,0.4734367578258741,8.261850620620335,1.7672547022420337,7.315835007321243,0.13668979672166756,0.5769035371531018,1.5543122344752192e-15,1.5543122344752192e-15,-5.4408519579257635e-16
