family,n_sites,instance_id,graph_seed,realization,disorder_seed,disorder_strength_over_coupling,target_style,initial_site,trap_site,dephasing_over_coupling,arrival,sink_hitting_time_filled,loss_population,network_population,mean_coherence_l1,final_entropy,participation_ratio,max_trace_deviation,max_population_closure_error,min_state_eigenvalue,topology_n_sites,topology_n_edges,topology_density,topology_mean_degree,topology_std_degree,topology_initial_degree,topology_target_degree,topology_target_betweenness,topology_target_closeness,topology_initial_target_distance,topology_modularity_approx,topology_spectral_radius,topology_spectral_gap,topology_spectral_degeneracy_approx,topology_spectral_initial_target_overlap,topology_target_mode_weight_ipr,zero_dephasing_arrival,dephasing_gain
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,3,0.0,near,7,0,1.4,0.4759183105270707,1.2121212121212122,0.14791127842304636,0.3761704110498828,0.3920339647219684,2.060787692785272,7.837529216439053,5.551115123125783e-16,5.551115123125783e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.3458083532734981,0.13010995725357255
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,5,0.0,near,7,0,1.4,0.4759183105270707,1.2121212121212122,0.14791127842304636,0.3761704110498828,0.3920339647219684,2.060787692785272,7.837529216439053,5.551115123125783e-16,5.551115123125783e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.3458083532734981,0.13010995725357255
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,7,0.0,near,7,0,1.4,0.4759183105270707,1.2121212121212122,0.14791127842304636,0.3761704110498828,0.3920339647219684,2.060787692785272,7.837529216439053,5.551115123125783e-16,5.551115123125783e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.3458083532734981,0.13010995725357255
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,11,0.0,near,7,0,1.4,0.4759183105270707,1.2121212121212122,0.14791127842304636,0.3761704110498828,0.3920339647219684,2.060787692785272,7.837529216439053,5.551115123125783e-16,5.551115123125783e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.3458083532734981,0.13010995725357255
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,3,0.3,near,7,0,0.8,0.47793429085046585,1.2121212121212122,0.148546096938097,0.3735196122114366,0.5983299166390185,2.059777858796231,7.882944653600244,6.661338147750939e-16,6.661338147750939e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.383124586045539,0.09480970480492684
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,5,0.3,near,7,0,0.8,0.4773816598350454,1.2121212121212122,0.1487952973729005,0.37382304279205475,0.5959876401367358,2.059684712898764,7.881783663751958,8.881784197001252e-16,8.881784197001252e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.39051599152042954,0.08686566831461584
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,7,0.3,near,7,0,1.4,0.4760319503261042,1.2121212121212122,0.14789092521542385,0.37607712445847047,0.39356106798967283,2.0607456444731396,7.836984691501166,1.5543122344752192e-15,1.5543122344752192e-15,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.35161474152162686,0.12441720880447732
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,11,0.3,near,7,0,1.4,0.47588599599640263,1.2121212121212122,0.14788136039982946,0.3762326436037684,0.39448863425760927,2.0606576205387652,7.836047620204658,6.661338147750939e-16,6.661338147750939e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.32404522869681907,0.15184076729958357
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,3,0.6,near,7,0,0.8,0.4799497345057695,1.2121212121212122,0.14837026217694455,0.3716800033172853,0.5989405545663632,2.060471977745144,7.889852048550972,8.881784197001252e-16,9.992007221626409e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.40505108209843194,0.07489865240733756
ring,8,ring_N8_r0_s8308_edge-unweighted,8308,0,5,0.6,near,7,0,0.8,0.4825587050180514,1.2121212121212122,0.14756375004690225,0.36987754493504577,0.6083946813991057,2.058209586029146,7.86433780913708,6.661338147750939e-16,6.661338147750939e-16,0.0,8.0,8.0,0.2857142857142857,2.0,0.0,2.0,2.0,0.21428571428571427,0.4375,1.0,0.25,2.0,0.0,3.0,0.6035533905932733,0.19823629851053576,0.44510255568184853,0.03745614933620289
